Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
15_00_20_539,0.0,2.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,0.95654296875,-0.2890625,0.1162109375,-28.170731707317074,-0.48780487804878053,-3.5975609756097566
15_00_20_539,-2.0,0.0,-1.0,1.0,-1.0,2.0,-3.0,0.0,0.978515625,-0.27978515625,0.1064453125,-26.402439024390247,-0.7926829268292683,-6.463414634146342
15_00_20_539,-3.0,-1.0,-2.0,-1.0,0.0,-3.0,-1.0,-2.0,0.98876953125,-0.267578125,0.09814453125,-23.902439024390247,-0.9756097560975611,-10.365853658536587
15_00_20_539,-1.0,-2.0,-2.0,-3.0,-5.0,-1.0,-1.0,-4.0,0.98974609375,-0.2587890625,0.08740234375,-19.085365853658537,-1.707317073170732,-14.817073170731708
15_00_20_539,1.0,-1.0,-1.0,-2.0,0.0,-2.0,-4.0,-1.0,0.98876953125,-0.26318359375,0.08642578125,-14.26829268292683,-1.9512195121951221,-19.695121951219512
15_00_20_539,-2.0,0.0,0.0,-2.0,0.0,1.0,-2.0,-1.0,0.9755859375,-0.29052734375,0.09326171875,-13.109756097560977,-1.9512195121951221,-24.695121951219516
15_00_20_539,0.0,-3.0,0.0,-1.0,-3.0,-1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_539,-4.0,-3.0,0.0,-2.0,-3.0,-4.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_539,-2.0,-1.0,-5.0,1.0,1.0,-1.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_539,0.0,-1.0,0.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_598,-3.0,1.0,7.0,1.0,-1.0,-2.0,-2.0,-1.0,0.91748046875,-0.32861328125,0.140625,-27.987804878048784,-1.9512195121951221,0.30487804878048785
15_00_20_598,-2.0,-4.0,-2.0,-1.0,1.0,-3.0,-1.0,-1.0,0.9404296875,-0.30908203125,0.12255859375,-28.84146341463415,-0.3658536585365854,-1.2195121951219514
15_00_20_598,-3.0,0.0,1.0,0.0,-2.0,-1.0,-3.0,0.0,0.95654296875,-0.2890625,0.1162109375,-28.170731707317074,-0.48780487804878053,-3.5975609756097566
15_00_20_598,-1.0,-4.0,-1.0,0.0,-3.0,2.0,-3.0,0.0,0.978515625,-0.27978515625,0.1064453125,-26.402439024390247,-0.7926829268292683,-6.463414634146342
15_00_20_598,1.0,-3.0,-2.0,0.0,1.0,1.0,-3.0,-1.0,0.98876953125,-0.267578125,0.09814453125,-23.902439024390247,-0.9756097560975611,-10.365853658536587
15_00_20_598,-3.0,-2.0,-5.0,-4.0,2.0,0.0,-3.0,0.0,0.98974609375,-0.2587890625,0.08740234375,-19.085365853658537,-1.707317073170732,-14.817073170731708
15_00_20_598,1.0,1.0,-3.0,2.0,-2.0,-1.0,-1.0,-2.0,0.98876953125,-0.26318359375,0.08642578125,-14.26829268292683,-1.9512195121951221,-19.695121951219512
15_00_20_598,-1.0,0.0,-2.0,-3.0,-2.0,-2.0,-5.0,2.0,0.9755859375,-0.29052734375,0.09326171875,-13.109756097560977,-1.9512195121951221,-24.695121951219516
15_00_20_598,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_598,-2.0,-3.0,0.0,-3.0,-3.0,2.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
15_00_20_643,-1.0,0.0,-4.0,1.0,-1.0,0.0,-2.0,0.0,0.91845703125,-0.36669921875,0.18310546875,-13.719512195121952,-10.24390243902439,-1.8902439024390245
15_00_20_643,-3.0,-1.0,0.0,-2.0,-1.0,1.0,-1.0,-1.0,0.9111328125,-0.36572265625,0.166015625,-18.658536585365855,-6.951219512195123,-0.6097560975609757
15_00_20_643,-2.0,-3.0,-5.0,-2.0,-2.0,-2.0,-1.0,-2.0,0.91552734375,-0.35693359375,0.1513671875,-24.32926829268293,-4.207317073170732,0.3658536585365854
15_00_20_643,-2.0,1.0,-6.0,-3.0,-3.0,-1.0,-3.0,-1.0,0.91748046875,-0.32861328125,0.140625,-27.987804878048784,-1.9512195121951221,0.30487804878048785
15_00_20_643,-1.0,2.0,12.0,6.0,-5.0,-1.0,-2.0,-1.0,0.9404296875,-0.30908203125,0.12255859375,-28.84146341463415,-0.3658536585365854,-1.2195121951219514
15_00_20_643,0.0,0.0,1.0,-1.0,-1.0,-3.0,-1.0,-1.0,0.95654296875,-0.2890625,0.1162109375,-28.170731707317074,-0.48780487804878053,-3.5975609756097566
15_00_20_643,-3.0,-2.0,-6.0,2.0,0.0,-2.0,-3.0,-2.0,0.978515625,-0.27978515625,0.1064453125,-26.402439024390247,-0.7926829268292683,-6.463414634146342
15_00_20_643,-1.0,-1.0,0.0,0.0,1.0,2.0,-2.0,-2.0,0.98876953125,-0.267578125,0.09814453125,-23.902439024390247,-0.9756097560975611,-10.365853658536587
15_00_20_643,-1.0,-3.0,-3.0,-1.0,-1.0,0.0,1.0,0.0,0.98974609375,-0.2587890625,0.08740234375,-19.085365853658537,-1.707317073170732,-14.817073170731708
15_00_20_643,-2.0,-1.0,-2.0,-3.0,-3.0,-3.0,-1.0,0.0,0.98876953125,-0.26318359375,0.08642578125,-14.26829268292683,-1.9512195121951221,-19.695121951219512
15_00_20_692,-2.0,-3.0,-1.0,-2.0,0.0,-1.0,-1.0,-4.0,0.9296875,-0.3642578125,0.21142578125,-4.634146341463415,-15.975609756097562,-5.182926829268293
15_00_20_692,0.0,-3.0,0.0,-1.0,1.0,-1.0,0.0,2.0,0.9208984375,-0.36865234375,0.2001953125,-8.475609756097562,-12.926829268292684,-3.7195121951219514
15_00_20_692,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-3.0,0.0,0.91845703125,-0.36669921875,0.18310546875,-13.719512195121952,-10.24390243902439,-1.8902439024390245
15_00_20_692,-1.0,2.0,0.0,-3.0,0.0,-1.0,-4.0,-2.0,0.9111328125,-0.36572265625,0.166015625,-18.658536585365855,-6.951219512195123,-0.6097560975609757
15_00_20_692,-2.0,-1.0,-5.0,-4.0,-2.0,-1.0,-1.0,-2.0,0.91552734375,-0.35693359375,0.1513671875,-24.32926829268293,-4.207317073170732,0.3658536585365854
15_00_20_692,-1.0,1.0,-1.0,-2.0,-2.0,0.0,-4.0,-2.0,0.91748046875,-0.32861328125,0.140625,-27.987804878048784,-1.9512195121951221,0.30487804878048785
15_00_20_692,-1.0,-2.0,-2.0,0.0,-3.0,1.0,-2.0,1.0,0.9404296875,-0.30908203125,0.12255859375,-28.84146341463415,-0.3658536585365854,-1.2195121951219514
15_00_20_692,0.0,0.0,2.0,-3.0,0.0,-2.0,-2.0,-2.0,0.95654296875,-0.2890625,0.1162109375,-28.170731707317074,-0.48780487804878053,-3.5975609756097566
15_00_20_692,0.0,-3.0,1.0,-1.0,-2.0,-3.0,-3.0,-1.0,0.978515625,-0.27978515625,0.1064453125,-26.402439024390247,-0.7926829268292683,-6.463414634146342
15_00_20_692,-1.0,1.0,0.0,-1.0,0.0,2.0,-1.0,0.0,0.98876953125,-0.267578125,0.09814453125,-23.902439024390247,-0.9756097560975611,-10.365853658536587
15_00_20_746,0.0,-5.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.9326171875,-0.345703125,0.23388671875,-8.048780487804878,-16.34146341463415,-7.134146341463415
15_00_20_746,0.0,-1.0,1.0,1.0,-1.0,0.0,-2.0,0.0,0.9296875,-0.3642578125,0.21142578125,-4.634146341463415,-15.975609756097562,-5.182926829268293
15_00_20_746,0.0,-2.0,-3.0,-1.0,3.0,-3.0,-3.0,0.0,0.9208984375,-0.36865234375,0.2001953125,-8.475609756097562,-12.926829268292684,-3.7195121951219514
15_00_20_746,0.0,-1.0,3.0,0.0,-1.0,1.0,-2.0,-1.0,0.91845703125,-0.36669921875,0.18310546875,-13.719512195121952,-10.24390243902439,-1.8902439024390245
15_00_20_746,0.0,1.0,-3.0,1.0,-3.0,-1.0,1.0,-2.0,0.9111328125,-0.36572265625,0.166015625,-18.658536585365855,-6.951219512195123,-0.6097560975609757
15_00_20_746,-1.0,-2.0,-1.0,-5.0,1.0,1.0,0.0,-1.0,0.91552734375,-0.35693359375,0.1513671875,-24.32926829268293,-4.207317073170732,0.3658536585365854
15_00_20_746,-1.0,-2.0,1.0,0.0,-2.0,-2.0,-4.0,-2.0,0.91748046875,-0.32861328125,0.140625,-27.987804878048784,-1.9512195121951221,0.30487804878048785
15_00_20_746,1.0,2.0,1.0,-1.0,-2.0,-1.0,-2.0,0.0,0.9404296875,-0.30908203125,0.12255859375,-28.84146341463415,-0.3658536585365854,-1.2195121951219514
15_00_20_796,-1.0,1.0,1.0,0.0,0.0,-2.0,0.0,-1.0,0.978515625,-0.23291015625,0.2294921875,43.35365853658537,-14.390243902439027,-0.6097560975609757
15_00_20_796,0.0,-1.0,-1.0,-1.0,2.0,-2.0,0.0,-1.0,0.9765625,-0.248046875,0.24462890625,34.146341463414636,-16.097560975609756,-2.5
15_00_20_796,0.0,0.0,-1.0,-2.0,3.0,-1.0,-2.0,1.0,0.9541015625,-0.30419921875,0.25341796875,18.963414634146343,-16.70731707317073,-4.695121951219512
15_00_20_796,-1.0,-4.0,-2.0,-1.0,0.0,0.0,-1.0,-2.0,0.9404296875,-0.3525390625,0.24072265625,3.048780487804878,-16.52439024390244,-6.707317073170732
15_00_20_796,1.0,2.0,-3.0,-2.0,-3.0,1.0,-2.0,0.0,0.9326171875,-0.345703125,0.23388671875,-8.048780487804878,-16.34146341463415,-7.134146341463415
15_00_20_796,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,0.0,-3.0,0.9296875,-0.3642578125,0.21142578125,-4.634146341463415,-15.975609756097562,-5.182926829268293
15_00_20_796,-1.0,0.0,5.0,-2.0,-2.0,1.0,-1.0,-2.0,0.9208984375,-0.36865234375,0.2001953125,-8.475609756097562,-12.926829268292684,-3.7195121951219514
15_00_20_796,-2.0,-4.0,-4.0,-2.0,-3.0,-2.0,-1.0,-3.0,0.91845703125,-0.36669921875,0.18310546875,-13.719512195121952,-10.24390243902439,-1.8902439024390245
15_00_20_796,-1.0,0.0,-3.0,0.0,-1.0,1.0,-5.0,4.0,0.9111328125,-0.36572265625,0.166015625,-18.658536585365855,-6.951219512195123,-0.6097560975609757
15_00_20_845,0.0,-4.0,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.9541015625,-0.30419921875,0.25341796875,18.963414634146343,-16.70731707317073,-4.695121951219512
15_00_20_845,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.9404296875,-0.3525390625,0.24072265625,3.048780487804878,-16.52439024390244,-6.707317073170732
15_00_20_845,1.0,2.0,3.0,-1.0,-2.0,-1.0,-4.0,1.0,0.9326171875,-0.345703125,0.23388671875,-8.048780487804878,-16.34146341463415,-7.134146341463415
15_00_20_845,-1.0,1.0,-2.0,1.0,-2.0,-1.0,-1.0,1.0,0.9296875,-0.3642578125,0.21142578125,-4.634146341463415,-15.975609756097562,-5.182926829268293
15_00_20_845,0.0,-2.0,-3.0,-2.0,1.0,2.0,-1.0,-1.0,0.9208984375,-0.36865234375,0.2001953125,-8.475609756097562,-12.926829268292684,-3.7195121951219514
15_00_20_912,-1.0,2.0,-4.0,-1.0,3.0,1.0,-3.0,0.0,0.9169921875,-0.3037109375,0.1435546875,7.621951219512196,1.2804878048780488,3.5975609756097566
15_00_20_912,-1.0,-5.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.92724609375,-0.26708984375,0.15478515625,19.695121951219512,-1.4634146341463417,2.7439024390243905
15_00_20_912,2.0,0.0,-1.0,2.0,3.0,-1.0,1.0,-1.0,0.94140625,-0.25048828125,0.15625,34.81707317073171,-6.829268292682928,3.2926829268292686
15_00_20_912,-2.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-2.0,0.9638671875,-0.259765625,0.17724609375,44.75609756097561,-10.30487804878049,2.1341463414634148
15_00_20_912,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,0.0,0.96923828125,-0.25830078125,0.19482421875,47.25609756097561,-12.926829268292684,0.7926829268292683
15_00_20_912,2.0,-1.0,2.0,-2.0,-3.0,-1.0,-4.0,0.0,0.978515625,-0.23291015625,0.2294921875,43.35365853658537,-14.390243902439027,-0.6097560975609757
15_00_20_912,2.0,-1.0,2.0,-1.0,2.0,2.0,1.0,1.0,0.9765625,-0.248046875,0.24462890625,34.146341463414636,-16.097560975609756,-2.5
15_00_20_912,1.0,1.0,-1.0,1.0,-2.0,0.0,-1.0,-1.0,0.9541015625,-0.30419921875,0.25341796875,18.963414634146343,-16.70731707317073,-4.695121951219512
15_00_20_912,-2.0,-1.0,-2.0,-2.0,0.0,-3.0,-3.0,-1.0,0.9404296875,-0.3525390625,0.24072265625,3.048780487804878,-16.52439024390244,-6.707317073170732
15_00_20_964,2.0,1.0,0.0,-1.0,-2.0,0.0,-4.0,-2.0,0.93701171875,-0.31689453125,0.1279296875,20.182926829268293,1.524390243902439,4.573170731707317
15_00_20_964,-2.0,0.0,-2.0,-1.0,-1.0,1.0,-1.0,1.0,0.923828125,-0.33837890625,0.1337890625,13.658536585365855,1.829268292682927,4.207317073170732
15_00_20_964,0.0,-1.0,-3.0,-1.0,1.0,-6.0,-1.0,-1.0,0.923828125,-0.32958984375,0.12890625,5.548780487804878,1.524390243902439,4.024390243902439
15_00_20_964,-1.0,-1.0,1.0,0.0,-1.0,-2.0,-1.0,0.0,0.9169921875,-0.3037109375,0.1435546875,7.621951219512196,1.2804878048780488,3.5975609756097566
15_00_20_964,-4.0,-5.0,-4.0,-1.0,1.0,0.0,-1.0,0.0,0.92724609375,-0.26708984375,0.15478515625,19.695121951219512,-1.4634146341463417,2.7439024390243905
15_00_20_964,-3.0,-3.0,-4.0,0.0,0.0,-1.0,-2.0,-3.0,0.94140625,-0.25048828125,0.15625,34.81707317073171,-6.829268292682928,3.2926829268292686
15_00_20_964,1.0,-2.0,-2.0,0.0,1.0,1.0,-2.0,0.0,0.9638671875,-0.259765625,0.17724609375,44.75609756097561,-10.30487804878049,2.1341463414634148
15_00_20_964,4.0,-3.0,2.0,-1.0,0.0,1.0,0.0,-2.0,0.96923828125,-0.25830078125,0.19482421875,47.25609756097561,-12.926829268292684,0.7926829268292683
15_00_20_964,-3.0,4.0,-1.0,0.0,0.0,2.0,-3.0,-4.0,0.978515625,-0.23291015625,0.2294921875,43.35365853658537,-14.390243902439027,-0.6097560975609757
15_00_21_004,-1.0,-2.0,1.0,-4.0,-2.0,-2.0,1.0,2.0,0.951171875,-0.30078125,0.111328125,20.54878048780488,-0.24390243902439027,10.426829268292684
15_00_21_004,0.0,-2.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,0.9560546875,-0.2978515625,0.1171875,20.48780487804878,-0.3658536585365854,8.414634146341465
15_00_21_004,3.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,2.0,0.951171875,-0.30419921875,0.1142578125,21.03658536585366,0.30487804878048785,5.914634146341464
15_00_21_004,-3.0,-5.0,-2.0,-4.0,3.0,-2.0,-1.0,-1.0,0.94677734375,-0.31298828125,0.1162109375,21.463414634146343,1.2804878048780488,4.75609756097561
15_00_21_004,0.0,-2.0,-3.0,-3.0,1.0,1.0,2.0,-1.0,0.93701171875,-0.31689453125,0.1279296875,20.182926829268293,1.524390243902439,4.573170731707317
15_00_21_004,2.0,2.0,-3.0,-3.0,1.0,-1.0,0.0,2.0,0.923828125,-0.33837890625,0.1337890625,13.658536585365855,1.829268292682927,4.207317073170732
15_00_21_004,-1.0,-1.0,-1.0,2.0,2.0,0.0,1.0,-1.0,0.923828125,-0.32958984375,0.12890625,5.548780487804878,1.524390243902439,4.024390243902439
15_00_21_004,-1.0,1.0,-3.0,-1.0,-1.0,-4.0,-2.0,-4.0,0.9169921875,-0.3037109375,0.1435546875,7.621951219512196,1.2804878048780488,3.5975609756097566
15_00_21_004,-1.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-2.0,0.92724609375,-0.26708984375,0.15478515625,19.695121951219512,-1.4634146341463417,2.7439024390243905
15_00_21_004,0.0,-4.0,-2.0,-1.0,0.0,-2.0,-1.0,1.0,0.94140625,-0.25048828125,0.15625,34.81707317073171,-6.829268292682928,3.2926829268292686
15_00_21_074,1.0,-3.0,-6.0,-8.0,-2.0,-1.0,1.0,-1.0,0.951171875,-0.30078125,0.111328125,20.54878048780488,-0.24390243902439027,10.426829268292684
15_00_21_074,-1.0,1.0,1.0,0.0,1.0,-6.0,-2.0,-1.0,0.9560546875,-0.2978515625,0.1171875,20.48780487804878,-0.3658536585365854,8.414634146341465
15_00_21_074,-1.0,-1.0,-3.0,-1.0,-2.0,2.0,-3.0,-2.0,0.951171875,-0.30419921875,0.1142578125,21.03658536585366,0.30487804878048785,5.914634146341464
15_00_21_074,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-2.0,-3.0,0.94677734375,-0.31298828125,0.1162109375,21.463414634146343,1.2804878048780488,4.75609756097561
15_00_21_074,-2.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,0.93701171875,-0.31689453125,0.1279296875,20.182926829268293,1.524390243902439,4.573170731707317
15_00_21_074,0.0,-1.0,0.0,0.0,-5.0,-3.0,-1.0,1.0,0.923828125,-0.33837890625,0.1337890625,13.658536585365855,1.829268292682927,4.207317073170732
15_00_21_074,-4.0,-1.0,0.0,-3.0,-1.0,2.0,-1.0,-1.0,0.923828125,-0.32958984375,0.12890625,5.548780487804878,1.524390243902439,4.024390243902439
15_00_21_074,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.9169921875,-0.3037109375,0.1435546875,7.621951219512196,1.2804878048780488,3.5975609756097566
15_00_21_128,0.0,0.0,-7.0,-3.0,-2.0,-4.0,-2.0,-3.0,0.9541015625,-0.3125,0.11669921875,21.585365853658537,2.0121951219512195,16.219512195121954
15_00_21_128,1.0,1.0,-1.0,-5.0,-2.0,0.0,0.0,0.0,0.94775390625,-0.3095703125,0.11376953125,21.097560975609756,1.707317073170732,15.121951219512196
15_00_21_128,-1.0,-1.0,2.0,-1.0,0.0,-2.0,1.0,-3.0,0.95361328125,-0.30126953125,0.107421875,21.463414634146343,1.5853658536585367,13.658536585365855
15_00_21_128,0.0,-2.0,-1.0,2.0,0.0,-3.0,0.0,-1.0,0.953125,-0.296875,0.111328125,21.707317073170735,0.853658536585366,12.317073170731708
