Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_05_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,-6.0,-2.0,-3.0,-6.0,-2.0,9.0,-4.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,2.0,0.0,-4.0,1.0,-1.0,-3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_07_972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,1.0,-2.0,-3.0,-2.0,-4.0,0.0,-1.0,1.0,0.94970703125,0.16455078125,0.15380859375,-1.7682926829268295,-2.073170731707317,-1.2195121951219514
10_41_08_010,-1.0,-1.0,3.0,0.0,-1.0,0.0,1.0,-2.0,0.94970703125,0.201171875,0.17578125,-0.9146341463414634,-0.853658536585366,-1.3414634146341464
10_41_08_010,2.0,6.0,0.0,-1.0,4.0,1.0,0.0,-1.0,0.96337890625,0.193359375,0.1845703125,5.365853658536586,-0.9756097560975611,-1.3414634146341464
10_41_08_010,-2.0,0.0,-1.0,-4.0,-1.0,4.0,1.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,-8.0,-3.0,-2.0,1.0,1.0,-3.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,0.0,0.0,-2.0,-1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,-1.0,1.0,0.0,3.0,0.0,1.0,-8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,-1.0,-1.0,-1.0,2.0,-2.0,-2.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_010,-6.0,1.0,0.0,-3.0,-3.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
10_41_08_051,1.0,-1.0,-1.0,-9.0,-5.0,-51.0,-14.0,15.0,0.92041015625,0.1728515625,0.1748046875,2.8658536585365857,-3.780487804878049,-0.7317073170731708
