device,CV,CV,CV,CV,Combined,Combined,Combined,Combined,Myo,Myo,Myo,Myo
,accuracy,f1,precision,recall,accuracy,f1,precision,recall,accuracy,f1,precision,recall
subject,,,,,,,,,,,,
S03,0.3333,0.2521,0.2778,0.3333,0.9333,0.9327,0.9444,0.9333,0.8000,0.8054,0.8222,0.8000
S08,0.5333,0.5000,0.6667,0.5333,0.9333,0.9327,0.9444,0.9333,0.6000,0.5587,0.7222,0.6000
S10,0.3333,0.3206,0.5111,0.3333,0.6429,0.6190,0.8333,0.6500,0.4286,0.3185,0.4615,0.4167
S12,0.3333,0.2434,0.2692,0.3333,0.6667,0.6296,0.8333,0.6667,0.4667,0.4028,0.5960,0.4667
S13,0.2667,0.2095,0.1778,0.2667,0.6000,0.5556,0.7500,0.6000,0.4667,0.4024,0.6389,0.4667
S15,0.2667,0.1991,0.1742,0.2667,0.6667,0.6296,0.6852,0.6667,0.6667,0.6296,0.6852,0.6667
S16,0.2667,0.2238,0.1944,0.2667,0.7333,0.7249,0.8519,0.7333,0.7333,0.7249,0.8519,0.7333
S17,0.4000,0.3263,0.2778,0.4000,0.7143,0.6825,0.8519,0.7333,0.6154,0.6020,0.7500,0.6667
S18,0.2667,0.2165,0.1852,0.2667,0.5333,0.4306,0.4015,0.5333,0.5333,0.4306,0.4015,0.5333
S19,0.1333,0.1119,0.0972,0.1333,0.6667,0.5556,0.5000,0.6667,0.6667,0.5556,0.5000,0.6667
S20,0.1333,0.1143,0.1037,0.1333,0.6000,0.5893,0.8182,0.6000,0.5333,0.5349,0.6889,0.5333
S21,0.2000,0.1111,0.0769,0.2000,0.6000,0.5046,0.4848,0.6000,0.5333,0.4461,0.4722,0.5333
