device,CV,CV,CV,CV,Combined,Combined,Combined,Combined,Myo,Myo,Myo,Myo
,accuracy,f1,precision,recall,accuracy,f1,precision,recall,accuracy,f1,precision,recall
subject,,,,,,,,,,,,
S03,0.33,0.32,0.35,0.33,0.67,0.66,0.83,0.67,0.53,0.50,0.81,0.53
S08,0.47,0.47,0.50,0.47,0.87,0.86,0.90,0.87,0.60,0.57,0.67,0.60
S10,0.40,0.38,0.42,0.40,0.60,0.57,0.82,0.60,0.53,0.45,0.47,0.53
S12,0.53,0.48,0.56,0.53,0.60,0.56,0.75,0.60,0.47,0.40,0.64,0.47
S13,0.40,0.41,0.43,0.40,0.67,0.65,0.74,0.67,0.40,0.28,0.29,0.40
S15,0.53,0.54,0.60,0.53,0.93,0.93,0.94,0.93,0.67,0.66,0.77,0.67
S16,0.73,0.72,0.85,0.73,0.87,0.87,0.90,0.87,0.60,0.50,0.48,0.60
S17,0.60,0.61,0.67,0.60,0.87,0.86,0.90,0.87,0.60,0.57,0.82,0.60
S18,0.53,0.51,0.50,0.53,0.73,0.74,0.85,0.73,0.53,0.45,0.47,0.53
S19,0.47,0.48,0.61,0.47,0.73,0.74,0.85,0.73,0.67,0.66,0.83,0.67
S20,0.60,0.60,0.67,0.60,0.87,0.86,0.90,0.87,0.60,0.50,0.48,0.60
S21,0.67,0.67,0.72,0.67,0.73,0.74,0.85,0.73,0.53,0.50,0.81,0.53
