device,CV,CV,CV,CV,Combined,Combined,Combined,Combined,Myo,Myo,Myo,Myo
,accuracy,f1,precision,recall,accuracy,f1,precision,recall,accuracy,f1,precision,recall
subject,,,,,,,,,,,,
S03,0.3333,0.3311,0.3833,0.3333,0.8000,0.8054,0.8750,0.8000,0.6667,0.6726,0.7778,0.6667
S08,0.5000,0.4907,0.5577,0.5000,0.9000,0.8997,0.9024,0.9000,0.6000,0.5879,0.6875,0.6000
S10,0.3667,0.3571,0.4444,0.3667,0.6429,0.6190,0.8333,0.6500,0.5357,0.4848,0.8116,0.5333
S12,0.4333,0.4177,0.5000,0.4333,0.6333,0.6222,0.7667,0.6333,0.4667,0.4020,0.6116,0.4667
S13,0.3333,0.3402,0.3859,0.3333,0.6333,0.6164,0.7469,0.6333,0.4333,0.3463,0.6333,0.4333
S15,0.4000,0.3984,0.4981,0.4000,0.8000,0.7962,0.8165,0.8000,0.6667,0.6458,0.7228,0.6667
S16,0.5000,0.4978,0.5556,0.5000,0.8000,0.8027,0.8750,0.8000,0.6667,0.6296,0.8333,0.6667
S17,0.5000,0.4888,0.5556,0.5000,0.7857,0.7802,0.8750,0.8000,0.5926,0.5744,0.7690,0.6048
S18,0.4000,0.3924,0.4361,0.4000,0.6333,0.6114,0.7857,0.6333,0.5333,0.4373,0.4306,0.5333
S19,0.3000,0.3001,0.3944,0.3000,0.7241,0.7057,0.8519,0.7296,0.6897,0.6547,0.8421,0.6963
S20,0.3667,0.3747,0.4551,0.3667,0.7333,0.7348,0.8519,0.7333,0.5667,0.5461,0.6984,0.5667
S21,0.4333,0.4371,0.5926,0.4333,0.6667,0.6506,0.8333,0.6667,0.5333,0.4789,0.8056,0.5333
