device,test,box,accuracy,precision,recall,f1
Myo,test,test_1,0.5607,0.7007,0.5606,0.5363
CV,test,test_1,0.3935,0.4531,0.3935,0.3967
Combined,test,test_1,0.7336,0.8385,0.7339,0.7316
Myo,test,test_2,0.6071,0.6909,0.6067,0.5944
CV,test,test_2,0.4236,0.5179,0.4236,0.4130
Combined,test,test_2,0.7234,0.7945,0.7236,0.7203
Myo,box,trasp,0.5706,0.6961,0.5705,0.5515
CV,box,trasp,0.5222,0.5602,0.5222,0.5247
Combined,box,trasp,0.7684,0.8313,0.7673,0.7726
Myo,box,opaq,0.5876,0.6935,0.5871,0.5690
CV,box,opaq,0.2889,0.2778,0.2889,0.2435
Combined,box,opaq,0.6910,0.8128,0.6921,0.6672
Myo,test_box,test_1_trasp,0.5701,0.7139,0.5701,0.5445
CV,test_box,test_1_trasp,0.5185,0.5525,0.5185,0.5274
Combined,test_box,test_1_trasp,0.8037,0.8660,0.8032,0.8094
Myo,test_box,test_1_opaq,0.5514,0.6872,0.5511,0.5281
CV,test_box,test_1_opaq,0.2685,0.2315,0.2685,0.2268
Combined,test_box,test_1_opaq,0.6636,0.8238,0.6646,0.6312
Myo,test_box,test_2_trasp,0.5714,0.6712,0.5707,0.5595
CV,test_box,test_2_trasp,0.5278,0.5720,0.5278,0.5123
Combined,test_box,test_2_trasp,0.7143,0.7763,0.7121,0.7155
Myo,test_box,test_2_opaq,0.6429,0.7116,0.6427,0.6293
CV,test_box,test_2_opaq,0.3194,0.5437,0.3194,0.2692
Combined,test_box,test_2_opaq,0.7324,0.8118,0.7337,0.7172
Myo,total,total,0.5791,0.6946,0.5788,0.5603
CV,total,total,0.4056,0.4758,0.4056,0.4047
Combined,total,total,0.7296,0.8199,0.7298,0.7271
