cv_inf_ms,proc_time_ms
1418.778,1472.55
115.742,133.78
123.802,138.72
137.155,152.14
116.53,130.94
121.519,148.9
136.295,149.25
130.047,144.58
126.824,140.92
159.455,173.3
148.402,185.65
149.156,181.63
139.342,219.01
148.574,210.98
150.796,171.27
113.855,140.64
129.02,146.15
122.238,145.93
131.734,152.65
110.132,134.58
91.654,115.27
94.626,118.12
118.574,137.41
122.052,151.97
109.75,173.31
98.761,118.08
85.282,108.24
89.584,109.94
114.261,138.22
96.046,124.28
123.099,151.23
105.772,131.09
132.641,157.1
131.182,155.55
114.569,139.09
115.914,138.77
143.999,166.4
118.691,142.9
125.552,151.62
99.932,124.6
80.22,106.89
122.953,150.33
103.011,125.41
124.629,150.86
123.942,145.17
136.55,166.34
131.422,150.3
118.416,149.97
115.963,141.75
108.194,130.42
112.282,137.4
116.767,141.19
132.635,155.18
94.456,143.08
130.351,144.86
117.54,133.56
77.249,119.89
128.064,149.12
83.108,108.71
85.885,119.0
115.379,127.58
138.261,150.72
122.832,173.64
126.66,139.02
137.123,182.08
124.153,137.18
151.415,169.93
99.71,140.34
97.84,113.74
112.268,122.51
130.896,140.88
131.64,143.4
119.998,131.57
137.15,153.86
130.435,151.34
97.492,107.77
117.67,133.64
70.614,84.11
100.792,112.51
112.508,124.5
124.084,137.83
112.346,124.88
109.75,120.88
131.175,144.52
118.396,131.54
110.82,123.95
104.472,118.36
134.075,148.7
123.443,180.38
123.001,174.72
119.497,161.87
144.63,157.61
85.403,121.6
96.38,124.99
112.826,128.38
128.563,145.76
119.268,150.33
114.508,130.73
84.175,100.59
112.336,126.65
131.908,146.2
128.195,147.77
140.895,157.01
95.46,112.35
94.387,122.09
88.063,102.53
101.61,121.8
115.806,129.88
92.485,129.79
98.104,129.63
115.15,129.74
115.162,130.06
113.354,126.74
110.34,129.25
114.557,130.13
113.558,128.6
112.744,127.99
113.13,128.2
110.503,126.01
112.077,128.81
126.078,140.23
114.649,128.29
111.929,125.85
106.086,123.1
109.475,124.53
111.809,128.43
109.326,126.54
108.866,123.91
113.217,132.24
110.121,124.28
109.768,123.45
98.629,112.91
84.096,101.63
85.789,102.47
100.248,121.09
93.94,126.69
107.41,126.99
113.324,130.12
114.282,132.78
142.544,157.26
144.172,172.12
95.072,110.03
85.66,101.93
125.948,154.75
75.554,98.61
98.747,118.33
142.069,161.32
116.955,134.19
145.992,167.63
85.479,102.99
110.326,131.34
85.607,102.12
94.289,122.48
121.391,138.79
90.61,113.95
112.424,129.98
112.238,141.88
110.769,142.9
135.219,204.27
112.378,135.99
101.207,126.02
141.622,166.96
117.475,144.32
136.094,165.61
109.729,137.3
91.236,114.93
91.951,116.48
96.835,119.13
113.682,179.97
119.636,144.89
113.726,133.49
126.873,150.04
134.229,161.68
112.198,139.27
97.215,126.06
92.771,119.92
95.65,124.27
97.762,136.24
111.541,139.2
93.169,122.03
128.699,163.37
130.152,157.7
117.695,141.0
111.614,134.54
134.366,159.22
123.725,151.59
128.821,153.42
130.64,155.95
112.35,133.96
106.625,167.96
128.804,149.32
103.285,128.95
125.444,157.86
126.289,154.47
139.381,166.53
108.613,127.85
110.105,131.53
107.027,132.04
106.029,128.19
107.112,133.3
114.473,142.0
121.75,148.8
96.307,138.07
103.038,129.96
101.767,132.91
118.041,139.3
85.521,112.13
112.864,135.89
111.326,133.59
100.301,134.12
126.976,149.61
144.879,171.11
103.311,126.03
95.334,118.14
95.99,120.94
137.883,161.38
139.71,167.36
106.954,130.75
114.556,139.99
109.342,134.11
121.772,150.33
124.852,166.67
105.588,144.42
125.642,143.38
