Subject,Session,Lift_Label,Start_Time_Str,End_Time_Str,Raw_Time_Diff_ms,Transition_Start_ms,Transition_End_ms,Duration_ms
S03,test1a,2,11_38_09_527,11_38_13_231,3704,539.0,137.0,4106.0
S03,test1a,2,11_38_29_004,11_38_31_802,2798,359.0,254.0,2903.0
S03,test1a,1,11_38_46_724,11_38_48_959,2235,504.0,318.0,2421.0
S03,test1a,1,11_39_11_427,11_39_12_904,1477,192.0,294.0,1375.0
S03,test1a,1,11_40_04_356,11_40_07_129,2773,422.0,321.0,2874.0
S03,test1a,3,11_40_24_321,11_40_27_907,3586,533.0,261.0,3858.0
S03,test1a,3,11_40_43_375,11_40_46_740,3365,505.0,199.0,3671.0
S03,test1a,1,11_41_20_817,11_41_21_765,948,806.0,503.0,1251.0
S03,test1a,1,11_41_30_358,11_41_34_321,3963,187.0,412.0,3738.0
S03,test1a,2,11_41_43_692,11_41_47_261,3569,196.0,204.0,3561.0
S03,test1a,1,11_42_02_450,11_42_04_693,2243,372.0,406.0,2209.0
S03,test1a,3,11_42_17_973,11_42_20_289,2316,636.0,454.0,2498.0
S03,test1b,1,11_48_32_729,11_48_36_398,3669,559.0,210.0,4018.0
S03,test1b,2,11_48_50_781,11_48_54_477,3696,288.0,309.0,3675.0
S03,test1b,2,11_49_10_681,11_49_13_784,3103,641.0,134.0,3610.0
S03,test1b,2,11_50_21_945,11_50_25_640,3695,321.0,473.0,3543.0
S03,test1b,2,11_50_37_470,11_50_39_871,2401,508.0,205.0,2704.0
S03,test1b,2,11_50_56_589,11_51_00_000,3411,198.0,403.0,3206.0
S03,test1b,2,11_51_53_972,11_51_57_423,3451,236.0,520.0,3167.0
S03,test1b,2,11_52_12_071,11_52_16_040,3969,415.0,249.0,4135.0
S03,test1b,1,11_52_32_079,11_52_32_929,850,541.0,301.0,1090.0
S03,test1b,2,11_52_35_756,11_52_38_251,2495,488.0,306.0,2677.0
S03,test2a,2,11_54_32_826,11_54_41_687,8861,317.0,556.0,8622.0
S03,test2a,2,11_54_50_615,11_54_57_879,7264,527.0,258.0,7533.0
S03,test2a,3,11_55_05_186,11_55_10_490,5304,803.0,387.0,5720.0
S03,test2a,2,11_55_24_339,11_55_30_497,6158,550.0,390.0,6318.0
S03,test2a,2,11_55_38_071,11_55_46_410,8339,528.0,315.0,8552.0
S03,test2a,2,11_55_55_066,11_56_03_659,8593,575.0,214.0,8954.0
S03,test2b,2,12_00_17_087,12_00_26_082,8995,285.0,127.0,9153.0
S03,test2b,1,12_00_32_496,12_00_34_207,1711,137.0,330.0,1518.0
