label_real,label_eye,label_after,source_subject,source_test
2,2,2,S03,test_1
3,1,3,S03,test_1
1,3,1,S03,test_1
1,3,1,S03,test_1
3,1,3,S03,test_1
2,2,2,S03,test_1
2,3,2,S03,test_1
1,1,1,S03,test_1
3,2,3,S03,test_1
1,1,1,S08,test_1
3,2,3,S08,test_1
2,3,2,S08,test_1
1,3,2,S08,test_1
2,1,1,S08,test_1
3,2,3,S08,test_1
3,2,3,S08,test_1
1,3,1,S08,test_1
2,1,2,S08,test_1
2,1,2,S10,test_1
3,3,3,S10,test_1
1,2,1,S10,test_1
1,3,1,S10,test_1
2,2,2,S10,test_1
3,1,3,S10,test_1
3,2,3,S10,test_1
1,1,2,S10,test_1
2,3,1,S10,test_1
1,2,1,S12,test_1
3,3,3,S12,test_1
2,1,2,S12,test_1
2,3,2,S12,test_1
1,2,1,S12,test_1
3,1,3,S12,test_1
2,1,2,S12,test_1
3,3,3,S12,test_1
1,2,1,S12,test_1
1,1,1,S13,test_1
3,3,3,S13,test_1
2,2,2,S13,test_1
2,3,2,S13,test_1
1,1,1,S13,test_1
3,2,3,S13,test_1
2,2,2,S13,test_1
3,1,3,S13,test_1
1,3,1,S13,test_1
2,3,2,S15,test_1
1,2,1,S15,test_1
3,1,3,S15,test_1
2,3,2,S15,test_1
3,2,3,S15,test_1
1,1,1,S15,test_1
1,1,1,S15,test_1
3,3,3,S15,test_1
2,2,2,S15,test_1
1,1,1,S16,test_1
3,2,3,S16,test_1
2,3,2,S16,test_1
2,2,2,S16,test_1
3,1,3,S16,test_1
1,3,1,S16,test_1
1,3,2,S16,test_1
2,1,3,S16,test_1
3,2,3,S16,test_1
2,1,1,S17,test_1
3,3,3,S17,test_1
1,2,1,S17,test_1
1,3,2,S17,test_1
2,1,3,S17,test_1
3,2,3,S17,test_1
3,3,3,S17,test_1
1,1,1,S17,test_1
2,2,2,S17,test_1
1,1,1,S18,test_1
3,3,3,S18,test_1
2,2,2,S18,test_1
3,2,3,S18,test_1
1,1,1,S18,test_1
2,3,2,S18,test_1
2,2,2,S18,test_1
1,1,1,S18,test_1
3,3,3,S18,test_1
1,1,1,S19,test_1
3,3,3,S19,test_1
2,2,2,S19,test_1
3,2,3,S19,test_1
2,1,2,S19,test_1
1,3,1,S19,test_1
1,3,1,S19,test_1
2,1,3,S19,test_1
3,2,3,S19,test_1
1,1,1,S20,test_1
3,3,3,S20,test_1
2,2,2,S20,test_1
2,2,2,S20,test_1
1,1,1,S20,test_1
3,3,3,S20,test_1
1,2,1,S20,test_1
3,3,3,S20,test_1
2,1,2,S20,test_1
1,2,2,S21,test_1
3,3,2,S21,test_1
2,1,3,S21,test_1
3,3,3,S21,test_1
2,1,2,S21,test_1
1,2,1,S21,test_1
3,2,3,S21,test_1
1,3,1,S21,test_1
2,1,2,S21,test_1
