Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 11:24:02 AM
Collection Length (seconds):, 21.9105
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.0318914, 0, -0.5219727, 0, -0.8730469, 0, 0.0732422, 0, -0.0109102, 0, 0.5170898, 0, -0.828125, 0, 0.2192383, 0, -0.0075532, 0, 0.0366211, 0, -0.9599609, 0, 0.2954102, 0, 0.0171206, 0, -0.3823242, 0, -0.9272461, 0, -0.1723633, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0307164, 0.0135, -0.5302734, 0.0135, -0.8681641, 0.0135, 0.0664062, 0.0005192, -0.0102388, 0.0135, 0.5205078, 0.0135, -0.8349609, 0.0135, 0.2124023, 0.0005192, -0.0065461, 0.0135, 0.0336914, 0.0135, -0.9536133, 0.0135, 0.300293, 0.0005192, 0.0152743, 0.0135, -0.3857422, 0.0135, -0.9238281, 0.0135, -0.1713867, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0280308, 0.027, -0.5322266, 0.027, -0.8706055, 0.027, 0.0703125, 0.0010385, -0.008896, 0.027, 0.4956055, 0.027, -0.8320312, 0.027, 0.2094727, 0.0010385, -0.0062104, 0.027, 0.0229492, 0.027, -0.9570312, 0.027, 0.2993164, 0.0010385, 0.0139315, 0.027, -0.3901367, 0.027, -0.9238281, 0.027, -0.1723633, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.026688, 0.0405, -0.5366211, 0.0405, -0.8686523, 0.0405, 0.0664062, 0.0015577, -0.0075532, 0.0405, 0.487793, 0.0405, -0.8305664, 0.0405, 0.2104492, 0.0015577, -0.0041962, 0.0405, 0.0117188, 0.0405, -0.9570312, 0.0405, 0.2895508, 0.0015577, 0.0119173, 0.0405, -0.390625, 0.0405, -0.9257812, 0.0405, -0.1704102, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0253452, 0.054, -0.5341797, 0.054, -0.8706055, 0.054, 0.0644531, 0.0020769, -0.0075532, 0.054, 0.4902344, 0.054, -0.8339844, 0.054, 0.2036133, 0.0020769, -0.0041962, 0.054, 0.0083008, 0.054, -0.9545898, 0.054, 0.2841797, 0.0020769, 0.0099031, 0.054, -0.3886719, 0.054, -0.9223633, 0.054, -0.1748047, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0219883, 0.0675, -0.5249023, 0.0675, -0.8725586, 0.0675, 0.0654297, 0.0025962, -0.0085603, 0.0675, 0.4921875, 0.0675, -0.8349609, 0.0675, 0.2128906, 0.0025962, -0.0048676, 0.0675, 0.0214844, 0.0675, -0.9521484, 0.0675, 0.2836914, 0.0025962, 0.0090639, 0.0675, -0.3842773, 0.0675, -0.9199219, 0.0675, -0.1738281, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0223239, 0.081, -0.5356445, 0.081, -0.8657227, 0.081, 0.0605469, 0.0031154, -0.0109102, 0.081, 0.496582, 0.081, -0.8378906, 0.081, 0.2143555, 0.0031154, -0.0041962, 0.081, 0.0263672, 0.081, -0.9492188, 0.081, 0.277832, 0.0031154, 0.0078889, 0.081, -0.3789062, 0.081, -0.9213867, 0.081, -0.1699219, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0238346, 0.0945, -0.53125, 0.0945, -0.8662109, 0.0945, 0.0600586, 0.0036346, -0.0125887, 0.0945, 0.4926758, 0.0945, -0.8364258, 0.0945, 0.2099609, 0.0036346, -0.0041962, 0.0945, 0.0239258, 0.0945, -0.949707, 0.0945, 0.2783203, 0.0036346, 0.0075532, 0.0945, -0.3701172, 0.0945, -0.925293, 0.0945, -0.1728516, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0213169, 0.108, -0.5283203, 0.108, -0.8691406, 0.108, 0.0639648, 0.0041538, -0.0115816, 0.108, 0.4887695, 0.108, -0.8291016, 0.108, 0.2094727, 0.0041538, -0.005539, 0.108, 0.0273438, 0.108, -0.9526367, 0.108, 0.2841797, 0.0041538, 0.0090639, 0.108, -0.3793945, 0.108, -0.9233398, 0.108, -0.1689453, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.0169528, 0.1215, -0.5234375, 0.1215, -0.8686523, 0.1215, 0.0678711, 0.0046731, -0.0090639, 0.1215, 0.5009766, 0.1215, -0.8344727, 0.1215, 0.2109375, 0.0046731, -0.0065461, 0.1215, 0.0292969, 0.1215, -0.9545898, 0.1215, 0.2919922, 0.0046731, 0.0092317, 0.1215, -0.3886719, 0.1215, -0.9199219, 0.1215, -0.1689453, , , , , , , , , , , , , , , , , , , , , , 
0.0051923, 0.0162814, 0.135, -0.5263672, 0.135, -0.8652344, 0.135, 0.0683594, 0.0051923, -0.0075532, 0.135, 0.5053711, 0.135, -0.8286133, 0.135, 0.2104492, 0.0051923, -0.0072175, 0.135, 0.0219727, 0.135, -0.9492188, 0.135, 0.2910156, 0.0051923, 0.0092317, 0.135, -0.3911133, 0.135, -0.9179688, 0.135, -0.1699219, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0176242, 0.1485, -0.5292969, 0.1485, -0.8647461, 0.1485, 0.0649414, 0.0057115, -0.0062104, 0.1485, 0.4907227, 0.1485, -0.8237305, 0.1485, 0.2109375, 0.0057115, -0.0068818, 0.1485, 0.0166016, 0.1485, -0.9482422, 0.1485, 0.2885742, 0.0057115, 0.008896, 0.1485, -0.3847656, 0.1485, -0.9174805, 0.1485, -0.1743164, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0219883, 0.162, -0.5336914, 0.162, -0.8671875, 0.162, 0.0673828, 0.0062308, -0.0052033, 0.162, 0.4916992, 0.162, -0.8266602, 0.162, 0.2060547, 0.0062308, -0.0062104, 0.162, 0.0253906, 0.162, -0.9521484, 0.162, 0.2919922, 0.0062308, 0.0095674, 0.162, -0.3847656, 0.162, -0.9223633, 0.162, -0.1762695, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0276951, 0.1755, -0.5341797, 0.1755, -0.8740234, 0.1755, 0.0703125, 0.00675, -0.0041962, 0.1755, 0.4960938, 0.1755, -0.8349609, 0.1755, 0.2041016, 0.00675, -0.0062104, 0.1755, 0.0263672, 0.1755, -0.9570312, 0.1755, 0.2900391, 0.00675, 0.0092317, 0.1755, -0.3842773, 0.1755, -0.925293, 0.1755, -0.1713867, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.026688, 0.189, -0.5336914, 0.189, -0.8735352, 0.189, 0.0688477, 0.0072692, -0.0035248, 0.189, 0.496582, 0.189, -0.8364258, 0.189, 0.2104492, 0.0072692, -0.0045319, 0.189, 0.0195312, 0.189, -0.9575195, 0.189, 0.2910156, 0.0072692, 0.0105745, 0.189, -0.3867188, 0.189, -0.9326172, 0.189, -0.1655273, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0216526, 0.2025, -0.5366211, 0.2025, -0.8774414, 0.2025, 0.0712891, 0.0077885, -0.0045319, 0.2025, 0.4980469, 0.2025, -0.8393555, 0.2025, 0.2133789, 0.0077885, -0.0031891, 0.2025, 0.0307617, 0.2025, -0.9594727, 0.2025, 0.293457, 0.0077885, 0.0119173, 0.2025, -0.3920898, 0.2025, -0.9326172, 0.2025, -0.1665039, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0152743, 0.216, -0.5405273, 0.216, -0.8754883, 0.216, 0.0712891, 0.0083077, -0.0031891, 0.216, 0.4990234, 0.216, -0.8393555, 0.216, 0.2080078, 0.0083077, -0.0031891, 0.216, 0.0317383, 0.216, -0.9604492, 0.216, 0.2895508, 0.0083077, 0.0119173, 0.216, -0.3920898, 0.216, -0.9287109, 0.216, -0.1650391, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0105745, 0.2295, -0.5390625, 0.2295, -0.8740234, 0.2295, 0.0742188, 0.0088269, -0.0015106, 0.2295, 0.5024414, 0.2295, -0.8330078, 0.2295, 0.2089844, 0.0088269, -0.002182, 0.2295, 0.0249023, 0.2295, -0.9580078, 0.2295, 0.2875977, 0.0088269, 0.0109102, 0.2295, -0.3920898, 0.2295, -0.9267578, 0.2295, -0.1669922, , , , , , , , , , , , , , , , , , , , , , 
