Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:09:37 PM
Collection Length (seconds):, 45.7515
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.0045319, 0, -0.3256836, 0, -0.9594727, 0, 0.1235352, 0, -0.0075532, 0, 0.3569336, 0, -0.9277344, 0, -0.1538086, 0, -0.0095674, 0, 0.1206055, 0, -1.0068359, 0, -0.0078125, 0, 0.0139315, 0, -0.1977539, 0, -0.9853516, 0, 0.0410156, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0008392, 0.0135, -0.3256836, 0.0135, -0.9580078, 0.0135, 0.1235352, 0.0005192, -0.0052033, 0.0135, 0.3598633, 0.0135, -0.9291992, 0.0135, -0.1572266, 0.0005192, -0.0085603, 0.0135, 0.1196289, 0.0135, -1.0083008, 0.0135, -0.0078125, 0.0005192, 0.0182956, 0.0135, -0.1918945, 0.0135, -0.9858398, 0.0135, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0099031, 0.027, -0.3203125, 0.027, -0.9614258, 0.027, 0.1235352, 0.0010385, -0.0048676, 0.027, 0.3652344, 0.027, -0.9316406, 0.027, -0.1552734, 0.0010385, -0.0068818, 0.027, 0.1206055, 0.027, -1.0043945, 0.027, -0.0053711, 0.0010385, 0.0223239, 0.027, -0.1884766, 0.027, -0.984375, 0.027, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0234989, 0.0405, -0.3168945, 0.0405, -0.9614258, 0.0405, 0.1220703, 0.0015577, -0.0058747, 0.0405, 0.3642578, 0.0405, -0.9287109, 0.0405, -0.1547852, 0.0015577, -0.0057069, 0.0405, 0.1254883, 0.0405, -1, 0.0405, -0.0073242, 0.0015577, 0.0290379, 0.0405, -0.1894531, 0.0405, -0.9794922, 0.0405, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0374304, 0.054, -0.3095703, 0.054, -0.9614258, 0.054, 0.1220703, 0.0020769, -0.0082246, 0.054, 0.3623047, 0.054, -0.9257812, 0.054, -0.1582031, 0.0020769, -0.0048676, 0.054, 0.1274414, 0.054, -1.0004883, 0.054, -0.0102539, 0.0020769, 0.0352483, 0.054, -0.1918945, 0.054, -0.9838867, 0.054, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0481727, 0.0675, -0.3139648, 0.0675, -0.9628906, 0.0675, 0.1240234, 0.0025962, -0.0109102, 0.0675, 0.3623047, 0.0675, -0.9272461, 0.0675, -0.1572266, 0.0025962, -0.0045319, 0.0675, 0.128418, 0.0675, -1.0043945, 0.0675, -0.0068359, 0.0025962, 0.0397803, 0.0675, -0.1923828, 0.0675, -0.9858398, 0.0675, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0506905, 0.081, -0.3256836, 0.081, -0.965332, 0.081, 0.1210938, 0.0031154, -0.0105745, 0.081, 0.3588867, 0.081, -0.9321289, 0.081, -0.15625, 0.0031154, -0.005539, 0.081, 0.1240234, 0.081, -1.0102539, 0.081, -0.0078125, 0.0031154, 0.0419623, 0.081, -0.1914062, 0.081, -0.9887695, 0.081, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0513619, 0.0945, -0.3276367, 0.0945, -0.965332, 0.0945, 0.1210938, 0.0036346, -0.0102388, 0.0945, 0.3564453, 0.0945, -0.9350586, 0.0945, -0.1572266, 0.0036346, -0.0041962, 0.0945, 0.1201172, 0.0945, -1.0112305, 0.0945, -0.0063477, 0.0036346, 0.0441444, 0.0945, -0.1904297, 0.0945, -0.9873047, 0.0945, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0485084, 0.108, -0.328125, 0.108, -0.9667969, 0.108, 0.1230469, 0.0041538, -0.0115816, 0.108, 0.359375, 0.108, -0.934082, 0.108, -0.1557617, 0.0041538, -0.0005035, 0.108, 0.1225586, 0.108, -1.0107422, 0.108, -0.0068359, 0.0041538, 0.0453193, 0.108, -0.1928711, 0.108, -0.9882812, 0.108, 0.0410156, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0347448, 0.1215, -0.3208008, 0.1215, -0.965332, 0.1215, 0.125, 0.0046731, -0.0112459, 0.1215, 0.3618164, 0.1215, -0.9350586, 0.1215, -0.1577148, 0.0046731, -0.0001678, 0.1215, 0.1259766, 0.1215, -1.0097656, 0.1215, -0.0073242, 0.0046731, 0.0404517, 0.1215, -0.1962891, 0.1215, -0.9873047, 0.1215, 0.0415039, , , , , , , , , , , , , , , , , , , , , , 
