Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 1:06:22 PM
Collection Length (seconds):, 37.125
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.0035248, 0, -0.2319336, 0, -0.9765625, 0, 0.1376953, 0, -0.0075532, 0, 0.3134766, 0, -0.9277344, 0, -0.2314453, 0, -0.0092317, 0, 0.1279297, 0, -0.9931641, 0, 0.0102539, 0, 0.0065461, 0, -0.2119141, 0, -0.9765625, 0, 0.0517578, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0025177, 0.0135, -0.2324219, 0.0135, -0.9804688, 0.0135, 0.1362305, 0.0005192, -0.0068818, 0.0135, 0.3129883, 0.0135, -0.9248047, 0.0135, -0.2329102, 0.0005192, -0.0075532, 0.0135, 0.1293945, 0.0135, -0.9960938, 0.0135, 0.0078125, 0.0005192, 0.0077211, 0.0135, -0.2011719, 0.0135, -0.9780273, 0.0135, 0.046875, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0001678, 0.027, -0.2333984, 0.027, -0.984375, 0.027, 0.1328125, 0.0010385, -0.0068818, 0.027, 0.3237305, 0.027, -0.9287109, 0.027, -0.2280273, 0.0010385, -0.0050355, 0.027, 0.1308594, 0.027, -1.0004883, 0.027, 0.0102539, 0.0010385, 0.0105745, 0.027, -0.190918, 0.027, -0.9775391, 0.027, 0.0439453, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0028534, 0.0405, -0.2294922, 0.0405, -0.9833984, 0.0405, 0.1347656, 0.0015577, -0.008896, 0.0405, 0.3286133, 0.0405, -0.9311523, 0.0405, -0.2246094, 0.0015577, -0.0048676, 0.0405, 0.1337891, 0.0405, -0.9980469, 0.0405, 0.0073242, 0.0015577, 0.0139315, 0.0405, -0.184082, 0.0405, -0.9790039, 0.0405, 0.0371094, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0003357, 0.054, -0.2255859, 0.054, -0.9858398, 0.054, 0.1367188, 0.0020769, -0.0102388, 0.054, 0.3276367, 0.054, -0.9345703, 0.054, -0.2290039, 0.0020769, -0.0063783, 0.054, 0.1450195, 0.054, -0.9990234, 0.054, 0.0107422, 0.0020769, 0.0164492, 0.054, -0.1782227, 0.054, -0.9833984, 0.054, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0078889, 0.0675, -0.2246094, 0.0675, -0.987793, 0.0675, 0.140625, 0.0025962, -0.0115816, 0.0675, 0.3271484, 0.0675, -0.9355469, 0.0675, -0.2304688, 0.0025962, -0.0065461, 0.0675, 0.1484375, 0.0675, -1.0029297, 0.0675, 0.0131836, 0.0025962, 0.0184634, 0.0675, -0.1757812, 0.0675, -0.9897461, 0.0675, 0.0332031, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0139315, 0.081, -0.2304688, 0.081, -0.9892578, 0.081, 0.1396484, 0.0031154, -0.0129244, 0.081, 0.3295898, 0.081, -0.9365234, 0.081, -0.2265625, 0.0031154, -0.0031891, 0.081, 0.1484375, 0.081, -1.0058594, 0.081, 0.0205078, 0.0031154, 0.0204776, 0.081, -0.1860352, 0.081, -0.9868164, 0.081, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0181277, 0.0945, -0.2333984, 0.0945, -0.984375, 0.0945, 0.1391602, 0.0036346, -0.012253, 0.0945, 0.3310547, 0.0945, -0.9321289, 0.0945, -0.2270508, 0.0036346, -0.0025177, 0.0945, 0.1376953, 0.0945, -1.0043945, 0.0945, 0.0195312, 0.0036346, 0.0226596, 0.0945, -0.2026367, 0.0945, -0.984375, 0.0945, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0226596, 0.108, -0.234375, 0.108, -0.9863281, 0.108, 0.1411133, 0.0041538, -0.0109102, 0.108, 0.3305664, 0.108, -0.9306641, 0.108, -0.2270508, 0.0041538, -0.0045319, 0.108, 0.1289062, 0.108, -1.0029297, 0.108, 0.0244141, 0.0041538, 0.0253452, 0.108, -0.2075195, 0.108, -0.9829102, 0.108, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.0236667, 0.1215, -0.2324219, 0.1215, -0.9873047, 0.1215, 0.1396484, 0.0046731, -0.0099031, 0.1215, 0.3295898, 0.1215, -0.9355469, 0.1215, -0.2294922, 0.0046731, -0.0052033, 0.1215, 0.1191406, 0.1215, -1.0053711, 0.1215, 0.0195312, 0.0046731, 0.0270237, 0.1215, -0.2177734, 0.1215, -0.9814453, 0.1215, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0051923, 0.023331, 0.135, -0.2304688, 0.135, -0.9853516, 0.135, 0.1391602, 0.0051923, -0.0097353, 0.135, 0.3242188, 0.135, -0.9350586, 0.135, -0.2285156, 0.0051923, -0.0038605, 0.135, 0.1186523, 0.135, -1.0068359, 0.135, 0.0200195, 0.0051923, 0.0273594, 0.135, -0.2167969, 0.135, -0.9863281, 0.135, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0219883, 0.1485, -0.2368164, 0.1485, -0.9858398, 0.1485, 0.137207, 0.0057115, -0.012253, 0.1485, 0.3222656, 0.1485, -0.9321289, 0.1485, -0.2280273, 0.0057115, -0.0048676, 0.1485, 0.1269531, 0.1485, -1.0048828, 0.1485, 0.0239258, 0.0057115, 0.0270237, 0.1485, -0.2128906, 0.1485, -0.9882812, 0.1485, 0.0463867, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0219883, 0.162, -0.2387695, 0.162, -0.9814453, 0.162, 0.1367188, 0.0062308, -0.012253, 0.162, 0.3178711, 0.162, -0.9350586, 0.162, -0.2255859, 0.0062308, -0.0068818, 0.162, 0.1352539, 0.162, -1.0039062, 0.162, 0.0258789, 0.0062308, 0.0246738, 0.162, -0.2109375, 0.162, -0.9863281, 0.162, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0223239, 0.1755, -0.2416992, 0.1755, -0.9770508, 0.1755, 0.1401367, 0.00675, -0.0109102, 0.1755, 0.3129883, 0.1755, -0.9296875, 0.1755, -0.2285156, 0.00675, -0.0058747, 0.1755, 0.1298828, 0.1755, -0.996582, 0.1755, 0.0249023, 0.00675, 0.0229953, 0.1755, -0.2109375, 0.1755, -0.9804688, 0.1755, 0.034668, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0226596, 0.189, -0.2358398, 0.189, -0.9775391, 0.189, 0.1367188, 0.0072692, -0.0112459, 0.189, 0.3144531, 0.189, -0.9262695, 0.189, -0.2304688, 0.0072692, -0.0041962, 0.189, 0.1176758, 0.189, -0.9916992, 0.189, 0.0209961, 0.0072692, 0.0219883, 0.189, -0.2172852, 0.189, -0.9775391, 0.189, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0260166, 0.2025, -0.2304688, 0.2025, -0.9794922, 0.2025, 0.1367188, 0.0077885, -0.0109102, 0.2025, 0.3203125, 0.2025, -0.9228516, 0.2025, -0.2324219, 0.0077885, -0.0043641, 0.2025, 0.1118164, 0.2025, -0.9912109, 0.2025, 0.0175781, 0.0077885, 0.0172885, 0.2025, -0.2158203, 0.2025, -0.9780273, 0.2025, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0231632, 0.216, -0.230957, 0.216, -0.9799805, 0.216, 0.1381836, 0.0083077, -0.0092317, 0.216, 0.3212891, 0.216, -0.9301758, 0.216, -0.2270508, 0.0083077, -0.0068818, 0.216, 0.1162109, 0.216, -1, 0.216, 0.015625, 0.0083077, 0.0135958, 0.216, -0.206543, 0.216, -0.9848633, 0.216, 0.0380859, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0179599, 0.2295, -0.2421875, 0.2295, -0.9853516, 0.2295, 0.1342773, 0.0088269, -0.0092317, 0.2295, 0.3212891, 0.2295, -0.9394531, 0.2295, -0.2202148, 0.0088269, -0.008896, 0.2295, 0.125, 0.2295, -1.0112305, 0.2295, 0.0195312, 0.0088269, 0.0132601, 0.2295, -0.2011719, 0.2295, -0.9926758, 0.2295, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0182956, 0.243, -0.2490234, 0.243, -0.9902344, 0.243, 0.1313477, 0.0093462, -0.0085603, 0.243, 0.3212891, 0.243, -0.9394531, 0.243, -0.2216797, 0.0093462, -0.0083925, 0.243, 0.1293945, 0.243, -1.0112305, 0.243, 0.0180664, 0.0093462, 0.014435, 0.243, -0.1982422, 0.243, -0.9902344, 0.243, 0.0375977, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0172885, 0.2565, -0.2412109, 0.2565, -0.9941406, 0.2565, 0.1313477, 0.0098654, -0.0075532, 0.2565, 0.3271484, 0.2565, -0.9428711, 0.2565, -0.2197266, 0.0098654, -0.0078889, 0.2565, 0.1328125, 0.2565, -1.0092773, 0.2565, 0.0136719, 0.0098654, 0.0139315, 0.2565, -0.1972656, 0.2565, -0.9897461, 0.2565, 0.0371094, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, 0.0129244, 0.27, -0.2319336, 0.27, -0.9960938, 0.27, 0.1357422, 0.0103846, -0.0057069, 0.27, 0.3310547, 0.27, -0.9433594, 0.27, -0.2231445, 0.0103846, -0.0097353, 0.27, 0.137207, 0.27, -1.0112305, 0.27, 0.0063477, 0.0103846, 0.0109102, 0.27, -0.190918, 0.27, -0.9941406, 0.27, 0.0336914, , , , , , , , , , , , , , , , , , , , , , 
