Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:03:46 PM
Collection Length (seconds):, 34.5735
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.0062104, 0, -0.2460938, 0, -0.9960938, 0, 0.0654297, 0, -0.0048676, 0, 0.2719727, 0, -0.9584961, 0, -0.1694336, 0, -0.005539, 0, 0.1411133, 0, -1.0004883, 0, -0.1040039, 0, 0.0191348, 0, -0.0888672, 0, -0.9970703, 0, 0.0341797, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0129244, 0.0135, -0.2431641, 0.0135, -0.9960938, 0.0135, 0.0673828, 0.0005192, -0.0065461, 0.0135, 0.2695312, 0.0135, -0.9604492, 0.0135, -0.1708984, 0.0005192, -0.0068818, 0.0135, 0.1420898, 0.0135, -0.9990234, 0.0135, -0.1040039, 0.0005192, 0.0186313, 0.0135, -0.0859375, 0.0135, -0.9980469, 0.0135, 0.0297852, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0213169, 0.027, -0.2456055, 0.027, -0.9975586, 0.027, 0.0664062, 0.0010385, -0.0082246, 0.027, 0.2700195, 0.027, -0.9570312, 0.027, -0.1738281, 0.0010385, -0.0082246, 0.027, 0.1450195, 0.027, -1.0019531, 0.027, -0.1064453, 0.0010385, 0.0172885, 0.027, -0.0800781, 0.027, -0.9985352, 0.027, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.0246738, 0.0405, -0.2485352, 0.0405, -0.9985352, 0.0405, 0.0673828, 0.0015577, -0.0085603, 0.0405, 0.2724609, 0.0405, -0.9560547, 0.0405, -0.1748047, 0.0015577, -0.0072175, 0.0405, 0.1435547, 0.0405, -1.0019531, 0.0405, -0.1064453, 0.0015577, 0.0146029, 0.0405, -0.0795898, 0.0405, -0.9975586, 0.0405, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0246738, 0.054, -0.25, 0.054, -0.9980469, 0.054, 0.0683594, 0.0020769, -0.0099031, 0.054, 0.2749023, 0.054, -0.9575195, 0.054, -0.1733398, 0.0020769, -0.0041962, 0.054, 0.1416016, 0.054, -1.0019531, 0.054, -0.1074219, 0.0020769, 0.01561, 0.054, -0.0844727, 0.054, -0.9970703, 0.054, 0.0327148, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0276951, 0.0675, -0.2456055, 0.0675, -0.9985352, 0.0675, 0.0688477, 0.0025962, -0.0097353, 0.0675, 0.2729492, 0.0675, -0.9604492, 0.0675, -0.1694336, 0.0025962, -0.0041962, 0.0675, 0.1430664, 0.0675, -1, 0.0675, -0.1049805, 0.0025962, 0.0171206, 0.0675, -0.0844727, 0.0675, -1.0004883, 0.0675, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0337377, 0.081, -0.2460938, 0.081, -0.9921875, 0.081, 0.0712891, 0.0031154, -0.0083925, 0.081, 0.2783203, 0.081, -0.9541016, 0.081, -0.1674805, 0.0031154, -0.0052033, 0.081, 0.140625, 0.081, -0.9995117, 0.081, -0.0981445, 0.0031154, 0.0146029, 0.081, -0.0864258, 0.081, -0.9980469, 0.081, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0339055, 0.0945, -0.2475586, 0.0945, -0.9926758, 0.0945, 0.0664062, 0.0036346, -0.0082246, 0.0945, 0.2832031, 0.0945, -0.9492188, 0.0945, -0.168457, 0.0036346, -0.0048676, 0.0945, 0.1362305, 0.0945, -0.9985352, 0.0945, -0.1010742, 0.0036346, 0.0105745, 0.0945, -0.0952148, 0.0945, -0.9946289, 0.0945, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0307164, 0.108, -0.2470703, 0.108, -0.9975586, 0.108, 0.0678711, 0.0041538, -0.0068818, 0.108, 0.277832, 0.108, -0.9570312, 0.108, -0.1669922, 0.0041538, -0.005539, 0.108, 0.1362305, 0.108, -0.9990234, 0.108, -0.0996094, 0.0041538, 0.0092317, 0.108, -0.0952148, 0.108, -0.9980469, 0.108, 0.0288086, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.027863, 0.1215, -0.2485352, 0.1215, -0.9980469, 0.1215, 0.065918, 0.0046731, -0.0058747, 0.1215, 0.269043, 0.1215, -0.9638672, 0.1215, -0.168457, 0.0046731, -0.005539, 0.1215, 0.1391602, 0.1215, -1.003418, 0.1215, -0.1030273, 0.0046731, 0.0075532, 0.1215, -0.0810547, 0.1215, -1.0058594, 0.1215, 0.0283203, , , , , , , , , , , , , , , , , , , , , , 
