Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:48:49 PM
Collection Length (seconds):, 28.8495
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.023331, 0, -0.2895508, 0, -0.9702148, 0, 0.1191406, 0, -0.0068818, 0, 0.34375, 0, -0.9282227, 0, -0.1816406, 0, -0.0082246, 0, 0.1206055, 0, -1.0043945, 0, 0.0019531, 0, 0.0179599, 0, -0.2016602, 0, -0.9814453, 0, 0.0224609, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0293736, 0.0135, -0.2919922, 0.0135, -0.9716797, 0.0135, 0.1162109, 0.0005192, -0.0075532, 0.0135, 0.3447266, 0.0135, -0.9282227, 0.0135, -0.1806641, 0.0005192, -0.0078889, 0.0135, 0.1171875, 0.0135, -1.0019531, 0.0135, 0.0048828, 0.0005192, 0.0162814, 0.0135, -0.2080078, 0.0135, -0.9799805, 0.0135, 0.0239258, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0327306, 0.027, -0.2890625, 0.027, -0.972168, 0.027, 0.1181641, 0.0010385, -0.0065461, 0.027, 0.3417969, 0.027, -0.9331055, 0.027, -0.1816406, 0.0010385, -0.008896, 0.027, 0.1108398, 0.027, -1.0053711, 0.027, 0.0043945, 0.0010385, 0.0125887, 0.027, -0.2124023, 0.027, -0.9799805, 0.027, 0.0273438, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.0276951, 0.0405, -0.2856445, 0.0405, -0.9711914, 0.0405, 0.1235352, 0.0015577, -0.0041962, 0.0405, 0.3383789, 0.0405, -0.9345703, 0.0405, -0.1865234, 0.0015577, -0.0109102, 0.0405, 0.1142578, 0.0405, -1.0073242, 0.0405, 0.0053711, 0.0015577, 0.0119173, 0.0405, -0.2041016, 0.0405, -0.9814453, 0.0405, 0.0283203, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0199741, 0.054, -0.2866211, 0.054, -0.9692383, 0.054, 0.1206055, 0.0020769, -0.0058747, 0.054, 0.340332, 0.054, -0.9287109, 0.054, -0.1865234, 0.0020769, -0.0092317, 0.054, 0.1191406, 0.054, -1.0029297, 0.054, 0.0048828, 0.0020769, 0.0119173, 0.054, -0.199707, 0.054, -0.9829102, 0.054, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0169528, 0.0675, -0.2822266, 0.0675, -0.9692383, 0.0675, 0.1191406, 0.0025962, -0.0068818, 0.0675, 0.3383789, 0.0675, -0.9291992, 0.0675, -0.1870117, 0.0025962, -0.008896, 0.0675, 0.1245117, 0.0675, -0.9990234, 0.0675, 0.0004883, 0.0025962, 0.0109102, 0.0675, -0.2041016, 0.0675, -0.9804688, 0.0675, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0171206, 0.081, -0.2763672, 0.081, -0.9702148, 0.081, 0.121582, 0.0031154, -0.0075532, 0.081, 0.3349609, 0.081, -0.9316406, 0.081, -0.1865234, 0.0031154, -0.0102388, 0.081, 0.1274414, 0.081, -0.9956055, 0.081, -0.0024414, 0.0031154, 0.0109102, 0.081, -0.2006836, 0.081, -0.9824219, 0.081, 0.0288086, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0164492, 0.0945, -0.2744141, 0.0945, -0.9677734, 0.0945, 0.1171875, 0.0036346, -0.008896, 0.0945, 0.3364258, 0.0945, -0.9277344, 0.0945, -0.1875, 0.0036346, -0.0097353, 0.0945, 0.1220703, 0.0945, -1, 0.0945, -0.0014648, 0.0036346, 0.0132601, 0.0945, -0.1962891, 0.0945, -0.9824219, 0.0945, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0162814, 0.108, -0.2773438, 0.108, -0.972168, 0.108, 0.1157227, 0.0041538, -0.0095674, 0.108, 0.3383789, 0.108, -0.9296875, 0.108, -0.1870117, 0.0041538, -0.0092317, 0.108, 0.1176758, 0.108, -0.9990234, 0.108, -0.0024414, 0.0041538, 0.0125887, 0.108, -0.2021484, 0.108, -0.9819336, 0.108, 0.0332031, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.0172885, 0.1215, -0.2739258, 0.1215, -0.9716797, 0.1215, 0.1171875, 0.0046731, -0.0095674, 0.1215, 0.3330078, 0.1215, -0.9311523, 0.1215, -0.1850586, 0.0046731, -0.0095674, 0.1215, 0.1137695, 0.1215, -0.9995117, 0.1215, -0.0073242, 0.0046731, 0.0082246, 0.1215, -0.2006836, 0.1215, -0.9819336, 0.1215, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
