Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:07:40 PM
Collection Length (seconds):, 42.525
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.0209812, 0, -0.2666016, 0, -0.9873047, 0, 0.1245117, 0, -0.0072175, 0, 0.3344727, 0, -0.9404297, 0, -0.199707, 0, -0.0082246, 0, 0.1513672, 0, -1.0087891, 0, -0.0244141, 0, 0.0119173, 0, -0.1640625, 0, -0.9951172, 0, 0.0512695, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0196384, 0.0135, -0.2729492, 0.0135, -0.9882812, 0.0135, 0.1220703, 0.0005192, -0.0058747, 0.0135, 0.3334961, 0.0135, -0.940918, 0.0135, -0.1958008, 0.0005192, -0.008896, 0.0135, 0.1455078, 0.0135, -1.0083008, 0.0135, -0.0249023, 0.0005192, 0.012253, 0.0135, -0.1591797, 0.0135, -0.9936523, 0.0135, 0.050293, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0169528, 0.027, -0.2729492, 0.027, -0.9853516, 0.027, 0.1220703, 0.0010385, -0.0058747, 0.027, 0.3286133, 0.027, -0.9433594, 0.027, -0.1938477, 0.0010385, -0.0085603, 0.027, 0.1489258, 0.027, -1.0078125, 0.027, -0.0229492, 0.0010385, 0.0125887, 0.027, -0.1640625, 0.027, -0.9936523, 0.027, 0.050293, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.0135958, 0.0405, -0.2661133, 0.0405, -0.9848633, 0.0405, 0.1240234, 0.0015577, -0.0050355, 0.0405, 0.3266602, 0.0405, -0.9433594, 0.0405, -0.1958008, 0.0015577, -0.008896, 0.0405, 0.152832, 0.0405, -1.0073242, 0.0405, -0.0258789, 0.0015577, 0.0095674, 0.0405, -0.1699219, 0.0405, -0.9926758, 0.0405, 0.0541992, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0164492, 0.054, -0.2578125, 0.054, -0.984375, 0.054, 0.1259766, 0.0020769, -0.0048676, 0.054, 0.3295898, 0.054, -0.9433594, 0.054, -0.2006836, 0.0020769, -0.0092317, 0.054, 0.152832, 0.054, -1.0053711, 0.054, -0.0258789, 0.0020769, 0.0058747, 0.054, -0.1699219, 0.054, -0.9936523, 0.054, 0.0541992, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0223239, 0.0675, -0.2543945, 0.0675, -0.9824219, 0.0675, 0.1279297, 0.0025962, -0.0041962, 0.0675, 0.3320312, 0.0675, -0.9379883, 0.0675, -0.1987305, 0.0025962, -0.0097353, 0.0675, 0.1513672, 0.0675, -1.003418, 0.0675, -0.0244141, 0.0025962, 0.0016785, 0.0675, -0.1694336, 0.0675, -0.9921875, 0.0675, 0.0541992, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0236667, 0.081, -0.2636719, 0.081, -0.9775391, 0.081, 0.1240234, 0.0031154, -0.005539, 0.081, 0.3320312, 0.081, -0.9379883, 0.081, -0.1977539, 0.0031154, -0.0109102, 0.081, 0.1435547, 0.081, -1, 0.081, -0.0273438, 0.0031154, -0.0008392, 0.081, -0.168457, 0.081, -0.987793, 0.081, 0.0522461, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0240024, 0.0945, -0.269043, 0.0945, -0.9746094, 0.0945, 0.1225586, 0.0036346, -0.0070497, 0.0945, 0.3276367, 0.0945, -0.9345703, 0.0945, -0.1948242, 0.0036346, -0.011078, 0.0945, 0.1411133, 0.0945, -1, 0.0945, -0.0273438, 0.0036346, -0.0016785, 0.0945, -0.1630859, 0.0945, -0.9853516, 0.0945, 0.0458984, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0253452, 0.108, -0.265625, 0.108, -0.9750977, 0.108, 0.1225586, 0.0041538, -0.0077211, 0.108, 0.3256836, 0.108, -0.9301758, 0.108, -0.1948242, 0.0041538, -0.0105745, 0.108, 0.1445312, 0.108, -0.9995117, 0.108, -0.0268555, 0.0041538, -0.0041962, 0.108, -0.1586914, 0.108, -0.9848633, 0.108, 0.0478516, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.0263523, 0.1215, -0.2641602, 0.1215, -0.9785156, 0.1215, 0.1210938, 0.0046731, -0.0062104, 0.1215, 0.3276367, 0.1215, -0.9311523, 0.1215, -0.1953125, 0.0046731, -0.0105745, 0.1215, 0.1464844, 0.1215, -1.0009766, 0.1215, -0.0288086, 0.0046731, -0.0068818, 0.1215, -0.159668, 0.1215, -0.987793, 0.1215, 0.0483398, , , , , , , , , , , , , , , , , , , , , , 
0.0051923, 0.0253452, 0.135, -0.2612305, 0.135, -0.9814453, 0.135, 0.1230469, 0.0051923, -0.0048676, 0.135, 0.3325195, 0.135, -0.9301758, 0.135, -0.1962891, 0.0051923, -0.0109102, 0.135, 0.1533203, 0.135, -1.0014648, 0.135, -0.0258789, 0.0051923, -0.0068818, 0.135, -0.1606445, 0.135, -0.9868164, 0.135, 0.0483398, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0182956, 0.1485, -0.2641602, 0.1485, -0.9775391, 0.1485, 0.1240234, 0.0057115, -0.0023499, 0.1485, 0.3305664, 0.1485, -0.9331055, 0.1485, -0.1948242, 0.0057115, -0.0119173, 0.1485, 0.1503906, 0.1485, -0.9995117, 0.1485, -0.0209961, 0.0057115, -0.0052033, 0.1485, -0.1630859, 0.1485, -0.9882812, 0.1485, 0.043457, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0132601, 0.162, -0.2612305, 0.162, -0.9785156, 0.162, 0.125, 0.0062308, -0.0048676, 0.162, 0.3330078, 0.162, -0.9306641, 0.162, -0.1972656, 0.0062308, -0.0109102, 0.162, 0.140625, 0.162, -1, 0.162, -0.0229492, 0.0062308, -0.002182, 0.162, -0.1689453, 0.162, -0.9873047, 0.162, 0.0488281, , , , , , , , , , , , , , , , , , , , , , 
