Application:, Trigno Discover (2.0.1.2)
Date/Time:, 7/3/2025 10:45:47 AM
Collection Length (seconds):, 44.847
Bicep_R (83254), , , , , , , , , , , , , , Tricep_R (83087)
sensor mode: 50, , , , , , , , , , , , , , sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
, 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0125887, 0, -0.1467285, 0, -0.5236816, 0, 0.8029175, 0, -15.9160309, 0, 13.5801525, 0, -4.5648856, 0, 0.0159457, 0, -0.6121826, 0, -0.7015991, 0, -0.4508667, 0, -23.801527, 0, 10.2900763, 0, 2.8167939, , , , , , , , , , , , , , , , , , , , , , 
0.0007941, -0.0142672, 0.00675, -0.1429443, 0.00675, -0.5237427, 0.00675, 0.8025513, 0.00675, -15.8931293, 0.00675, 14.5038166, 0.00675, -4.3511453, 0.0007941, 0.0142672, 0.00675, -0.6123047, 0.00675, -0.6992188, 0.00675, -0.4454956, 0.00675, -23.641222, 0.00675, 11.8854961, 0.00675, 2.0839694, , , , , , , , , , , , , , , , , , , , , , 
0.0015882, -0.0132601, 0.0135, -0.1430054, 0.0135, -0.5213623, 0.0135, 0.8030396, 0.0135, -15.9923668, 0.0135, 14.839695, 0.0135, -4.2137403, 0.0015882, 0.0146029, 0.0135, -0.6173706, 0.0135, -0.6959229, 0.0135, -0.4361572, 0.0135, -23.6564884, 0.0135, 12.3053436, 0.0135, 1.4885496, , , , , , , , , , , , , , , , , , , , , , 
0.0023824, -0.0125887, 0.02025, -0.1433716, 0.02025, -0.5181274, 0.02025, 0.8002319, 0.02025, -15.7404585, 0.02025, 14.8931293, 0.02025, -4.0916033, 0.0023824, 0.0152743, 0.02025, -0.6213989, 0.02025, -0.6987305, 0.02025, -0.4315796, 0.02025, -23.557251, 0.02025, 11.3893127, 0.02025, 1.3282443, , , , , , , , , , , , , , , , , , , , , , 
0.0031765, -0.0092317, 0.027, -0.1456909, 0.027, -0.5189209, 0.027, 0.8007202, 0.027, -15.8931293, 0.027, 14.7786255, 0.027, -4.3358779, 0.0031765, 0.0115816, 0.027, -0.6270142, 0.027, -0.6989136, 0.027, -0.4290161, 0.027, -23.519083, 0.027, 10.2442751, 0.027, 1.3358779, , , , , , , , , , , , , , , , , , , , , , 
0.0039706, -0.0068818, 0.03375, -0.1478271, 0.03375, -0.5181274, 0.03375, 0.7990112, 0.03375, -16.0916023, 0.03375, 14.4732828, 0.03375, -4.3358779, 0.0039706, 0.0085603, 0.03375, -0.6307373, 0.03375, -0.7016602, 0.03375, -0.4333496, 0.03375, -23.6717548, 0.03375, 9.7099237, 0.03375, 1.7251909, , , , , , , , , , , , , , , , , , , , , , 
0.0047647, -0.0109102, 0.0405, -0.1491699, 0.0405, -0.5181885, 0.0405, 0.8015747, 0.0405, -16.1297703, 0.0405, 14.320611, 0.0405, -4.0839696, 0.0047647, 0.0085603, 0.0405, -0.6347046, 0.0405, -0.699646, 0.0405, -0.4358521, 0.0405, -24.1450386, 0.0405, 9.6335878, 0.0405, 2.2748091, , , , , , , , , , , , , , , , , , , , , , 
0.0055588, -0.0082246, 0.04725, -0.1505737, 0.04725, -0.5162354, 0.04725, 0.7999268, 0.04725, -16.0839691, 0.04725, 13.9465647, 0.04725, -3.8625953, 0.0055588, 0.0072175, 0.04725, -0.6343384, 0.04725, -0.7024536, 0.04725, -0.4405518, 0.04725, -24.2442741, 0.04725, 9.282443, 0.04725, 2.8778627, , , , , , , , , , , , , , , , , , , , , , 
0.0063529, -0.0031891, 0.054, -0.1450195, 0.054, -0.5141602, 0.054, 0.7987061, 0.054, -16.3664131, 0.054, 13.3664122, 0.054, -3.7099237, 0.0063529, 0.0092317, 0.054, -0.6315918, 0.054, -0.7033691, 0.054, -0.442627, 0.054, -24.0229015, 0.054, 8.7862597, 0.054, 3.259542, , , , , , , , , , , , , , , , , , , , , , 
0.0071471, 0.002182, 0.06075, -0.1465454, 0.06075, -0.5155029, 0.06075, 0.7999268, 0.06075, -16.6641216, 0.06075, 13.0152674, 0.06075, -3.6183207, 0.0071471, 0.0109102, 0.06075, -0.6296387, 0.06075, -0.7018433, 0.06075, -0.4457397, 0.06075, -23.7786255, 0.06075, 8.358779, 0.06075, 3.1068702, , , , , , , , , , , , , , , , , , , , , , 
0.0079412, 0.0052033, 0.0675, -0.1467285, 0.0675, -0.517395, 0.0675, 0.8021851, 0.0675, -16.8167934, 0.0675, 12.3740454, 0.0675, -3.9160306, 0.0079412, 0.0102388, 0.0675, -0.6193848, 0.0675, -0.7044067, 0.0675, -0.4421387, 0.0675, -23.2824421, 0.0675, 8.7480917, 0.0675, 2.5343511, , , , , , , , , , , , , , , , , , , , , , 
0.0087353, 0.0005035, 0.07425, -0.1438599, 0.07425, -0.5184326, 0.07425, 0.8033447, 0.07425, -17.0305347, 0.07425, 11.7633591, 0.07425, -4.0305343, 0.0087353, 0.0083925, 0.07425, -0.6179199, 0.07425, -0.7053223, 0.07425, -0.4388428, 0.07425, -23.0992374, 0.07425, 9.160305, 0.07425, 2.4045801, , , , , , , , , , , , , , , , , , , , , , 
0.0095294, -0.0038605, 0.081, -0.1456909, 0.081, -0.520874, 0.081, 0.8039551, 0.081, -17.1832066, 0.081, 12.1221371, 0.081, -4.1374044, 0.0095294, 0.0070497, 0.081, -0.6223145, 0.081, -0.7063599, 0.081, -0.4356689, 0.081, -22.801527, 0.081, 10.0763359, 0.081, 2.0458016, , , , , , , , , , , , , , , , , , , , , , 
0.0103235, -0.0045319, 0.08775, -0.1421509, 0.08775, -0.5217285, 0.08775, 0.8012695, 0.08775, -16.7480907, 0.08775, 12.3740454, 0.08775, -4.1068702, 0.0103235, 0.0092317, 0.08775, -0.6262817, 0.08775, -0.7074585, 0.08775, -0.4290161, 0.08775, -22.8625946, 0.08775, 10.9465647, 0.08775, 1.778626, , , , , , , , , , , , , , , , , , , , , , 
