window_idx,IAV_channel_1,ISD_channel_1,KURT_channel_1,LD_channel_1,MAV_channel_1,MNF_channel_1,MNP_channel_1,MPK_channel_1,RMS_channel_1,SAMPEN_channel_1,SKEW_channel_1,SM_channel_1,SSC_channel_1,VAR_channel_1,WAMP_channel_1,WL_channel_1,ZC_channel_1,IAV_channel_2,ISD_channel_2,KURT_channel_2,LD_channel_2,MAV_channel_2,MNF_channel_2,MNP_channel_2,MPK_channel_2,RMS_channel_2,SAMPEN_channel_2,SKEW_channel_2,SM_channel_2,SSC_channel_2,VAR_channel_2,WAMP_channel_2,WL_channel_2,ZC_channel_2,IAV_channel_3,ISD_channel_3,KURT_channel_3,LD_channel_3,MAV_channel_3,MNF_channel_3,MNP_channel_3,MPK_channel_3,RMS_channel_3,SAMPEN_channel_3,SKEW_channel_3,SM_channel_3,SSC_channel_3,VAR_channel_3,WAMP_channel_3,WL_channel_3,ZC_channel_3,IAV_channel_4,ISD_channel_4,KURT_channel_4,LD_channel_4,MAV_channel_4,MNF_channel_4,MNP_channel_4,MPK_channel_4,RMS_channel_4,SAMPEN_channel_4,SKEW_channel_4,SM_channel_4,SSC_channel_4,VAR_channel_4,WAMP_channel_4,WL_channel_4,ZC_channel_4,IAV_channel_5,ISD_channel_5,KURT_channel_5,LD_channel_5,MAV_channel_5,MNF_channel_5,MNP_channel_5,MPK_channel_5,RMS_channel_5,SAMPEN_channel_5,SKEW_channel_5,SM_channel_5,SSC_channel_5,VAR_channel_5,WAMP_channel_5,WL_channel_5,ZC_channel_5,IAV_channel_6,ISD_channel_6,KURT_channel_6,LD_channel_6,MAV_channel_6,MNF_channel_6,MNP_channel_6,MPK_channel_6,RMS_channel_6,SAMPEN_channel_6,SKEW_channel_6,SM_channel_6,SSC_channel_6,VAR_channel_6,WAMP_channel_6,WL_channel_6,ZC_channel_6,IAV_channel_7,ISD_channel_7,KURT_channel_7,LD_channel_7,MAV_channel_7,MNF_channel_7,MNP_channel_7,MPK_channel_7,RMS_channel_7,SAMPEN_channel_7,SKEW_channel_7,SM_channel_7,SSC_channel_7,VAR_channel_7,WAMP_channel_7,WL_channel_7,ZC_channel_7,IAV_channel_8,ISD_channel_8,KURT_channel_8,LD_channel_8,MAV_channel_8,MNF_channel_8,MNP_channel_8,MPK_channel_8,RMS_channel_8,SAMPEN_channel_8,SKEW_channel_8,SM_channel_8,SSC_channel_8,VAR_channel_8,WAMP_channel_8,WL_channel_8,ZC_channel_8,label
0,0.5044731069226538,0.0068243090123678045,5.0069930411840735,1.0126061247905795,0.012611827673066345,9.36860010719261,6.750138888151018e-06,0.018352769174687623,0.013061689221122783,0.0011113170249143112,-0.8262661630809093,0.2692880030342908,25,1.1549528054072993e-05,0,0.011481883003242554,22,0.3065157001517548,0.0031718795216761184,2.323300186266306,1.0076526820765692,0.00766289250379387,13.31962082502281,2.8993202541124207e-06,0.01532578500758774,0.00890488562767108,0.0011113170249143112,0.17342436086569846,0.16443745844560764,26,2.0577066517202665e-05,0,0.01532578500758774,22,0.38146012904392274,0.0037355605804485032,2.6897862371002517,1.0095352927079406,0.009536503226098069,8.59087761261065,3.7556676782336783e-06,0.012177466305191606,0.009663799175852765,0.0011113170249143112,-0.1815004154802497,0.1373913650623908,30,2.4441207298337084e-06,0,0.005281926158187075,27,0.40377839635270785,0.004338430631557876,2.978819129729401,1.0100912113649414,0.010094459908817697,9.232127368613043,4.303484897787102e-06,0.014421993588701401,0.010414449855318662,0.0011113170249143112,0.4045892456129214,0.16918135836521397,30,6.5626449382191476e-06,0,0.008655067359767413,29,0.2904211801378048,0.0021570537392799974,2.5739394895862793,1.0072599283403325,0.007260529503445121,8.522544492447938,2.1717994702145747e-06,0.009119544538726803,0.007343455826925082,0.0011113170249143112,0.052970594336251314,0.07881778899096027,26,1.2110548116028855e-06,0,0.0037180300705633657,24,0.44680687230561056,0.004991294641805718,2.314990757071001,1.011170167046902,0.011170171807640263,8.114892717730065,5.069132903452402e-06,0.011335926287708154,0.011170602761048438,0.0011113170249143112,0.16589119718068748,0.1751680327288655,21,9.627832941586634e-09,0,0.00033150896013577937,15,0.4424652718572786,0.005159882677332474,5.013458251167519,1.0110583494065633,0.011061631796431964,9.061365660741888,5.13660237880238e-06,0.015413732957650951,0.01135768756980539,0.0011113170249143112,0.9784283475647194,0.19819885013161678,28,6.63736893347717e-06,0,0.00870420232243797,25,0.3119843539187604,0.0032860703974864967,2.227981320087319,1.0077890322650453,0.00779960884796901,13.319620825022819,3.003698720195179e-06,0.015599217695938021,0.009063760805381087,0.0011113170249143112,-0.04366369675649713,0.1703573735204445,29,2.1317861755845942e-05,0,0.015599217695938021,28,no weight
1,0.6955457186078298,0.012292152733033815,3.231279948378229,1.0173862134002072,0.017388642965195746,7.848340713804743,1.2406901702079897e-05,0.02009000221009469,0.01753008323784703,0.0206378703147757,-0.715522678225398,0.3969323905924137,27,4.938914154793877e-06,0,0.007330970908781645,22,0.5329914123650747,0.007325242093967903,1.9926190683449316,1.013322027105792,0.013324785309126869,7.193521779130741,7.352363680787107e-06,0.01532578500758774,0.013532592225778385,0.0692804343933186,0.11503358962985333,0.19665702499221366,24,5.581148814874405e-06,0,0.008003998793843493,24,0.5816862334611841,0.009271132837298867,1.9000244647645719,1.014532171744893,0.014542155836529602,11.411116722760132,9.098166857604527e-06,0.02420947050760908,0.015224267500686912,0.025216588286850354,-0.09606587046034615,0.4784514897297913,24,2.0304024558559736e-05,0,0.014605250279482972,20,0.5412318853300806,0.007416085318130615,2.2820587183375483,1.013529651837049,0.013530797133252014,7.675959173242499,7.495652819460975e-06,0.015073779044739263,0.013616245185559248,0.03803092953009053,0.10654970246851893,0.23221127927334553,29,2.3196618920444085e-06,0,0.004868356733873267,25,0.34606877799049496,0.0030078089783292837,2.2542755489532387,1.008651549368174,0.008651719449762374,7.644658235284468,3.049438711145842e-06,0.009119544538726803,0.008671518001955142,0.06605349296806146,-0.021076329997452396,0.09496666497818182,27,3.4297502083552236e-07,0,0.0018713003558577124,20,0.45925366229859516,0.005284791224924533,3.275344750061097,1.0114811940175736,0.011481341557464879,8.586994633782762,5.362694034144719e-06,0.012750609881948037,0.011494336893579956,0.06602965353143345,-0.2726187547966153,0.20187283708022927,25,2.985766639432807e-07,0,0.001907696919570016,18,0.5927371595465138,0.008915945145351857,3.3606221740200395,1.0148167957855825,0.014818428988662846,7.9795290918818464,9.003393777348306e-06,0.017273025905450365,0.01492978997286286,0.013987758558967632,-0.5440403439439162,0.2966474020209751,28,3.312790941753052e-06,0,0.006099801771551247,28,0.5625233029674603,0.008226070048032032,2.2599745764412518,1.014059190828939,0.014063082574186508,7.745707497867499,8.231232795164352e-06,0.01705429608644024,0.014340563140992782,0.02921221131229502,0.35177133474318995,0.24857050270188324,26,7.881459712412585e-06,0,0.009054697268010488,24,no weight
2,0.8054287547568477,0.016262446049634754,3.195433879697768,1.0201351728740962,0.020135718868921192,8.163026569941392,1.6499108224073823e-05,0.02191866856315476,0.020163361605666574,0.0011113170249143112,-0.5787115544823356,0.5735214770138879,28,1.1139768726399205e-06,0,0.0035658993884671378,23,0.5909618868132683,0.008735165800291371,2.3342337185465096,1.0147739946092598,0.014774047170331709,8.122321505192268,8.869982838464417e-06,0.01532578500758774,0.014777656952551182,0.0011113170249143112,0.07290183089320636,0.3067900623497786,20,1.0667521609793553e-07,0,0.0011034756745120621,19,0.9810440878858554,0.026198637523181082,7.998197904150945,1.0245000228150343,0.024526102197146384,9.634479699403844,2.5771483348207698e-05,0.03687473808910117,0.0255923023208059,0.0011113170249143112,1.047342326959901,1.0572938500416358,23,5.343624909465833e-05,0,0.024697271783909562,20,0.6036372517432946,0.00911572062863775,3.479794798417717,1.015090854054973,0.015090931293582365,8.125927086992945,9.255699035210832e-06,0.01575986899846333,0.015096125851222351,0.0011113170249143112,-0.354268119450531,0.32027308885007494,28,1.568084083202381e-07,0,0.001337875409761928,20,0.36232057887775965,0.003281958114962606,2.9251632922896493,1.0090580138145486,0.00905801447194399,8.113791459280089,3.3332179419270715e-06,0.009119544538726803,0.00905808770514313,0.0011113170249143112,0.31556608223555255,0.11516644290097629,28,1.3267001183776578e-09,0,0.00012306013356562333,21,0.51186249270358,0.006595100159516347,2.4889621312447052,1.012796006679032,0.012796562317589499,8.237082963028914,6.680529717222876e-06,0.014588707307606625,0.012840463542563744,0.0011113170249143112,0.2423071648908355,0.2343266897039842,25,1.1254968399571177e-06,0,0.003584289980034251,25,0.6928781866893825,0.012053045125667107,2.943218979756554,1.017321327522768,0.017321954667234563,8.190087672054508,1.2221398820260685e-05,0.019230176376818172,0.017358747885192576,0.0011113170249143112,0.20189197660877406,0.4262331817088748,21,1.2760146479484967e-06,0,0.003816443419167221,20,0.6837035049212961,0.011717522340675857,2.3528839438684233,1.0170922034361556,0.017092587623032403,8.161720614547832,1.1888374672442196e-05,0.018585957550126785,0.01711543334294801,0.0011113170249143112,0.3559464963330807,0.41318278918489204,25,7.815068658559407e-07,0,0.0029867398541887635,22,no weight
3,0.9012183946763457,0.020430342368278568,3.370209240983179,1.0225289268993571,0.02253045986690864,8.507797951287767,2.0700456962673838e-05,0.026103066813577352,0.022599968124025403,0.013823114272575597,-0.14040071434420354,0.7646040061006294,27,3.1369373925832454e-06,0,0.005921631285829659,21,0.6192692037575687,0.009664448753432857,3.030356949317667,1.0154807820402891,0.015481730093939217,9.108803451654348,9.785299975768284e-06,0.018722401663306017,0.01554384826340702,0.07318788708193466,-0.15086552368024406,0.4000640571819578,24,1.9272521342381564e-06,0,0.005037683043454167,19,1.373601864512564,0.047927615721139794,5.791316317268086,1.034330864114118,0.034340046612814104,7.659251912842445,4.837984153325182e-05,0.03876797638637039,0.03461488687008084,0.03803092953009053,0.781999922674818,1.4855473958113177,25,1.8951591658249607e-05,0,0.013925242499686706,22,0.6174879077040476,0.009533817824476938,3.6688926420413974,1.0154371787977756,0.01543719769260119,7.901007050921086,9.682184149230974e-06,0.01575986899846333,0.01543844051748503,0.4786628573661868,-0.13739277796333896,0.32047047661470784,25,3.837301147189257e-08,0,0.0012906852234485528,18,0.3763873707159545,0.003552241076493495,4.372376923224479,1.009409553607192,0.009409684267898863,8.624756550762491,3.6036155354032684e-06,0.010589331483349172,0.009423694971312334,0.06430353112356545,0.4390066902887653,0.1364542392072514,27,2.638688907940177e-07,0,0.0016527994509507316,23,0.5630529132247275,0.007936705531036979,2.3585463596004366,1.014076187302946,0.014076322830618188,7.76499727315225,8.056417582022367e-06,0.014588707307606625,0.014086079592133663,0.10189656417751049,0.4531396524842127,0.2587300189166996,26,2.7477384414164507e-07,0,0.0020495379079537475,25,0.7332218346226671,0.013452332827724222,2.9885103419655956,1.0183303988552495,0.018330545865566678,7.626493139105136,1.3657847224107562e-05,0.019230176376818172,0.018338710987774072,0.5191542187209242,0.461862566454348,0.4259973517725968,24,2.994089634620302e-07,0,0.0035985220450059884,23,0.7372850762539968,0.013608096988769766,2.670267003117567,1.0184319014638172,0.01843212690634992,8.052214669153871,1.3813535470207278e-05,0.019425713365521537,0.01844457710871258,0.010373024598187659,0.1694638490869636,0.4706598732360329,26,4.591224274555339e-07,0,0.0022948342058969687,20,no weight
4,1.0485273022803812,0.02774375275929289,3.112218462343789,1.026210033647467,0.02621318255700953,8.282355542013507,2.8076076947841762e-05,0.030507696550864296,0.026336169406015034,0.0011113170249143112,0.48348994167655107,0.9902101114540727,27,6.462879215213605e-06,0,0.008589027987709535,20,0.75363300582722,0.014498061950312816,2.5898890853239087,1.0188371568143033,0.0188408251456805,8.48886260420685,1.4607580407210026e-05,0.02345934095828532,0.019038160330184753,0.0011113170249143112,0.2625873786106396,0.5280357003956302,28,7.474856587713776e-06,0,0.009237031625209644,25,1.5527119378729939,0.06032578035826572,7.7863371678974955,1.0388171616490374,0.03881779844682485,8.12934506903637,6.12476595054881e-05,0.04076085880454853,0.038834836280801324,0.0011113170249143112,-0.20168238838322874,2.120231737967153,28,1.323032698325202e-06,0,0.003886120715447361,23,0.604166243171147,0.009131448016475724,3.714193144757439,1.0151040818654367,0.015104156079278674,8.125419865814816,9.271768263190114e-06,0.01575986899846333,0.015109142941010689,0.0011113170249143112,-0.34278903971749836,0.32080910594909073,25,1.5066954468215478e-07,0,0.0013114258383693095,19,0.4252499404689016,0.004558397831266487,4.012119001885874,1.010630785186735,0.010631248511722539,8.262355721439926,4.61496251767804e-06,0.012266012618283901,0.010675202376613858,0.0011113170249143112,0.29797691955559036,0.16237130672358233,25,9.365008636594518e-07,0,0.0032695282131227216,19,0.5710951672626382,0.008155100861438475,2.619200903903631,1.014277362437999,0.014277379181565955,8.116507830501051,8.281992609798373e-06,0.014588707307606625,0.014278568609491704,0.0011113170249143112,0.43040819000430075,0.28624797935496743,22,3.396524174892127e-08,0,0.0006226562520813377,19,0.6978071237137203,0.012218031077153397,2.367981922708177,1.0174446293954569,0.01744517809284301,8.179595945257518,1.23914591712295e-05,0.019230176376818172,0.017477150137503394,0.0011113170249143112,-0.10826872575198651,0.4316106708465314,32,1.1165382378253476e-06,0,0.0035699965679503315,29,0.7779124881107506,0.015139107784482197,3.1302413108556792,1.0194476845379794,0.019447812202768765,8.12592100419948,1.5371581601481906e-05,0.020309666855410746,0.019454503196228243,0.0011113170249143112,0.7321703454496447,0.5318993429429132,27,2.6029513789321213e-07,0,0.0017237093052839617,22,no weight
5,1.2196785644405272,0.03742640826409964,2.967136130723031,1.030489101182184,0.03049196411101318,8.224525623357236,3.791881659539839e-05,0.03462916504188244,0.030588563330148262,0.009534801581799103,0.13091405569628525,1.3276951123172311,24,5.900331255174945e-06,0,0.008305866741440734,23,0.9188667416396746,0.021281417511989732,2.4547750500682306,1.0229695472324682,0.022971668540991867,8.046292094281656,2.1546025816657382e-05,0.026008743619341836,0.023065893388285297,0.010373024598187659,0.20544082201434902,0.7264890621534553,28,4.337882242547992e-06,0,0.007049494991286855,27,1.800824448065843,0.08282533806588488,3.944308685861174,1.044999742349195,0.04502061120164608,9.486096098177109,8.343427920138489e-05,0.05969310669020794,0.04550421355926418,0.06430353112356524,-0.253821393376652,3.572501697352658,30,4.3778018677341805e-05,0,0.020825486182928635,27,0.5996163712462296,0.00899553364046813,3.075253911524273,1.0149903226144914,0.014990409281155739,8.503810678984285,9.133337169981917e-06,0.015977407876930215,0.014996277571841061,0.2887707093682832,-0.2229116254881169,0.3393082665066035,25,1.7597059514310727e-07,0,0.0021678644842468824,20,0.4754373332011085,0.005662633556135341,2.8175168414141094,1.011885789774417,0.011885933330027711,7.822634443682922,5.746566768719526e-06,0.012338542543447139,0.011898144347056121,0.0670377155796822,-0.332212291102908,0.18663242863960472,27,2.9042777751986274e-07,0,0.0016653770033512316,15,0.5396340093648895,0.007304959371466454,2.736924603292413,1.0134905437606547,0.013490850234122238,7.8146259752387754,7.409380099024334e-06,0.014269396409103375,0.013513844171317848,0.03908313048061916,0.44167043731480043,0.23976540584425,20,6.209442471452775e-07,0,0.002507493992768367,19,0.6662640640351687,0.011113206816068413,2.4071363848957996,1.0166564108922398,0.016656601600879218,8.763265604278727,1.1280790702968738e-05,0.017906637879706772,0.016668238371276983,0.36338823567315726,-0.06859816650552461,0.43842677384411344,32,3.8779351129820265e-07,0,0.003985687168045503,25,1.2402876648812917,0.04690956771399435,8.96791537373286,1.0309056196628164,0.031007191622032294,14.992194077352854,4.433572293554777e-05,0.06393952173729167,0.03424527986233809,0.06535065163809103,0.4150641384332358,3.174003932263549,31,0.00021129326056442934,19,0.044469610697275674,27,no weight
6,1.3895049895605796,0.048518900846173815,3.0678216917705634,1.0347345949987525,0.03473762473901449,8.20702122832734,4.917885691952565e-05,0.03896755292716468,0.03482775504040341,0.0011113170249143112,-0.29793051246162,1.7187061896775202,24,6.2699486457539365e-06,0,0.008459856376300385,25,1.043033326522154,0.02729392447248212,2.852025428453935,1.026074664126548,0.02607583316305385,8.177069651104786,2.7682836766247316e-05,0.028692325367822378,0.026121793809232418,0.0011113170249143112,0.1413375457447275,0.9639315188671487,28,2.3990366646341323e-06,0,0.005232984409537057,26,2.4076529495932224,0.1502118734144826,3.0621758429145123,1.060128923920603,0.06019132373983056,8.758395911503056,0.0001504878464047478,0.07962178867511258,0.06128047678797926,0.0011113170249143112,0.059916459617011156,5.612541463088302,31,0.00013230138180897602,0,0.03886092987056405,27,0.6407057516212467,0.010297112064820892,2.723973786217951,1.0160172191475667,0.016017643790531166,8.174102535970638,1.0444496504131786e-05,0.017586844420968317,0.01604455675986477,0.0011113170249143112,0.008185205404800527,0.3635511359793553,23,8.628890201806671e-07,0,0.003138401260874297,23,0.49361804902753104,0.006091547128351228,2.5776600866760946,1.0123404502666458,0.012340451225688276,8.11372972111191,6.186697155383947e-06,0.012414889833092652,0.012340529899837393,0.0011113170249143112,-0.12674759828538476,0.2137557448941645,30,1.9417551894394214e-09,0,0.00014887721480875103,24,0.46815594019109474,0.005550979762482827,2.120002146393813,1.0117030122494737,0.011703898504777368,8.347994533537364,5.6096416602451106e-06,0.013966051055525288,0.011780258658538474,0.0011113170249143112,0.36411096770909807,0.19941316766253586,24,1.793253851940751e-06,0,0.004524305101495837,25,0.7186302078944171,0.01298524474895606,2.469391091211304,1.0179648402544574,0.017965755197360427,8.217338723412643,1.3158978983007489e-05,0.020271330585853016,0.01801752254678488,0.0011113170249143112,0.004120464642725559,0.4604589884231675,29,1.8627589124182274e-06,0,0.0046111507769851755,23,2.603507032525225,0.19756147761958315,4.011918496372206,1.0647576963193528,0.06508767581313063,10.831212776711302,0.00018964916233994773,0.10986568477085053,0.07027828213957409,0.0011113170249143112,0.26571354767958333,8.746814623677633,26,0.0007026313977343875,39,0.08955601791543978,25,no weight
7,1.5512927792532456,0.060355774836176955,2.7797307030944043,1.0387799960852615,0.03878231948133114,8.123170345776714,6.122327428160626e-05,0.04234808763484864,0.038844489582235776,0.009534801581799103,-0.06468141246040239,2.110317784526066,28,4.826066552387329e-06,0,0.007502003198702097,27,1.1840642842681102,0.03532347286082313,3.484054774437432,1.0295982924734801,0.029601607106702753,8.574038080038877,3.576845070374794e-05,0.034878854984400395,0.029716776768697144,0.013823114272575597,-0.029103952797505526,1.334556687829767,28,6.8316782209832455e-06,0,0.008735932277634535,28,2.973607476674302,0.22242807898843334,3.217013382652033,1.074324192674345,0.07434018691685755,7.503278095682316,0.00022536778196233955,0.07962178867511258,0.0745701144877144,0.07169670271712028,0.5132743887436914,6.782585798790413,29,3.4238583877513544e-05,0,0.021126407033020073,23,0.6741649905623557,0.011370427972537971,2.629737759310477,1.016854026825307,0.01685412476405889,7.680031129183041,1.154497871358329e-05,0.017586844420968317,0.0168600326011977,0.511186049071747,-0.09865719252926179,0.3644284680757897,25,1.9917775098608453e-07,0,0.0029308786276377,26,0.4903837518339067,0.00601303654120833,2.8508087973332783,1.0122595798287313,0.012259593795847668,7.986220437843469,6.1065478506231795e-06,0.012414889833092652,0.01226074685858118,0.07991401582598714,0.28706384044477207,0.20565249189606233,26,2.8273491021651716e-08,0,0.0006211841489799415,25,0.41328641724733206,0.0042842776990269955,3.4271280785160694,1.0103319855653121,0.0103321604311833,9.075988596425207,4.345695672458977e-06,0.011645894593219729,0.010349248401486693,0.3971459996941988,0.6923379123851324,0.17760880817388,27,3.534032999650112e-07,0,0.0035616579086153993,26,0.8562624652176068,0.01862782036389172,3.2274849196624276,1.0214029165024672,0.02140656163044017,8.957580067464313,1.8802180721741748e-05,0.027058712835040567,0.021579979358129445,0.017134375576231504,0.3772619339378073,0.7430021869659005,26,7.454628259459596e-06,0,0.009033840320026482,21,4.366450483057322,0.5010482184854281,3.016837857318169,1.1088859885439881,0.10916126207643304,8.962288582540928,0.0004993261778211624,0.15067784887506153,0.11192053190606138,0.009534801581799103,0.23278508420117458,18.994060251486125,26,0.0006100243240160039,38,0.08444201898609192,26,no weight
8,1.6974819629809812,0.07220485478295724,4.337200978231467,1.0424350258127577,0.04243704907452453,8.155732233552058,7.326702205209599e-05,0.04590654522188438,0.04248671992015777,0.0011113170249143112,-0.40263596359637327,2.54454163614741,27,4.2182354203276746e-06,0,0.006938992294719698,24,1.4016663358145192,0.0496817984711333,2.6583241093785697,1.0350348339069386,0.03504165839536298,8.31977998624653,5.023692589050037e-05,0.041390991422903575,0.03524265826776312,0.0011113170249143112,0.016860637194705742,1.7798019203103255,20,1.412713868101994e-05,0,0.012698666055081197,21,3.0947955399023286,0.2395150672914097,3.1372912772386314,1.0773690637864046,0.07736988849755821,8.118858774151434,0.00024322967193366273,0.07962178867511258,0.07738137167487562,0.0011113170249143112,0.773528363035469,8.409107434331474,31,1.7770361606533931e-06,0,0.00450380035510875,23,0.6459215215531973,0.010459382980829362,3.445272728562957,1.0161476810818113,0.016148038038829932,8.163647627508839,1.061145454190987e-05,0.017586844420968317,0.01617048467179429,0.0011113170249143112,-0.7019507151501589,0.3688902427741,30,7.254420172356232e-07,0,0.0028776127642767685,25,0.47407189360912566,0.00562304845198478,3.0604443765604223,1.0118517424353923,0.011851797340228142,8.127775656032396,5.709169215775265e-06,0.012414889833092652,0.011856483934945448,0.0011113170249143112,0.3145664350236091,0.19759816671072186,19,1.1111110578064198e-07,0,0.0011261849857290215,16,0.43339916606389345,0.004723079492196322,3.22570841924808,1.0108346426899604,0.010834979151597337,8.217750227671466,4.7862293235056225e-06,0.012228212349165223,0.010866323541332093,0.0011113170249143112,-0.0287112760265768,0.16748812070110392,27,6.802140893591003e-07,0,0.0027864663951357727,23,1.0894931262955043,0.030355063005729363,2.9562363487763763,1.0272290512444302,0.027237328157387608,8.521624583470931,3.056316659295339e-05,0.0342033257289222,0.027547714517600803,0.0011113170249143112,-0.06633869830194213,1.1090624484732245,26,1.7004529990014174e-05,0,0.013931995143069184,21,6.070074127743736,0.9457373039967161,7.88606550247152,1.1514848717399202,0.15175185319359338,8.587780758268504,0.0009508900565981618,0.19363802161633625,0.15376421105028928,0.0011113170249143112,-0.9911233070667788,34.773309573401,26,0.0006148076522279799,39,0.08377233684548573,25,no weight
9,1.7887714208420453,0.08002720207601423,5.293267895368481,1.044718871065756,0.04471928552105113,7.848090842317092,8.126409186994656e-05,0.04590654522188438,0.04472896211517048,0.27417190994713003,-0.6220712900485221,2.6594456046574093,24,8.655543870619867e-07,0,0.004749038803332974,21,1.5702710677963179,0.06176125078738763,2.421900281400116,1.0392553624411436,0.039256776694907944,7.591719073239156,6.268034375172644e-05,0.041390991422903575,0.039294163303023655,0.2252466015109881,0.00946724254047146,1.9371246129162403,23,2.9367532108228136e-06,0,0.008536858911982512,20,3.0588718375921857,0.23394804024832552,3.308066630944897,1.0764714404682434,0.07647179593980465,8.299513991768437,0.00023759151565028023,0.07833905965184644,0.07647680044437095,0.3879293445892754,0.8270905539467563,8.50638801288244,29,7.65431949015855e-07,0,0.005415230479203295,26,0.642956871655241,0.01038639792118901,2.875038519405532,1.016073287922099,0.016073921791381025,9.092259232228454,1.0528525910402858e-05,0.018766078284647953,0.01611396748258247,0.20972053098206875,-0.2530972642026278,0.43067780923104754,28,1.2889862742914838e-06,0,0.005458760538757906,24,0.4745599401986672,0.005640013877770193,2.24241027503746,1.0118638770407233,0.01186399850496668,8.650468613606499,5.724293198752268e-06,0.013041225253959126,0.011874356696017465,0.18293107912429105,0.21760771570627244,0.21805690953191603,23,2.458864184031803e-07,0,0.0023011746304121995,22,0.5094237601684842,0.006568618300872594,3.0667042066117016,1.0127345971659796,0.012735594004212106,8.75249381717118,6.639627959244586e-06,0.015615248238777876,0.012814657916691138,0.013823114272575597,0.006332113574303887,0.2543391478089396,23,2.0201028816915034e-06,0,0.004744545159037774,20,1.4179036761928616,0.05146151136701298,2.8533264196086616,1.0354331206218867,0.03544759190482154,8.906433739111112,5.179582250388998e-05,0.04596777268170711,0.03586833957929088,0.010033119768266699,0.044180309716888286,2.011886449358075,23,3.0006012324554846e-05,0,0.018551829201972462,21,7.889031176119055,1.5876222532801247,4.298164142668044,1.1968957235994782,0.19722577940297636,8.67021073872254,0.0016000203663034992,0.2488012168671076,0.1992248888367192,0.016349138001529193,-0.4945403489441225,59.84618574846993,23,0.0007925482708916274,38,0.0959753593549823,20,no weight
