;S03;S04;S05;S06;S07;S08;S09;S10
channel_1;47.047;19.308;30.572;14.110;48.250;18.688;18.838;25.741
channel_2;65.453;50.574;44.414;31.965;19.948;31.765;40.295;58.413
channel_3;73.926;58.028;67.462;35.989;28.014;44.747;30.166;66.985
channel_4;62.520;57.444;67.973;38.253;45.736;30.963;66.412;71.754
channel_5;75.310;31.051;74.490;64.619;43.599;69.584;57.945;60.937
channel_6;70.961;29.763;21.137;16.284;55.244;63.989;61.516;42.221
channel_7;64.597;36.571;61.646;21.662;74.691;48.736;41.546;54.557
channel_8;41.747;23.019;62.271;24.186;68.480;44.738;41.091;26.089
biceps;0.368;0.206;0.482;0.063;0.071;0.232;0.072;0.059
triceps;0.110;0.050;0.350;0.079;0.049;0.126;0.072;0.113
