;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14
channel_1;57.538;30.379;79.697;76.296;68.584;54.559;61.640;62.463;41.423;44.904;65.538;36.361
channel_2;30.743;44.472;65.789;61.521;43.711;29.191;54.927;53.058;30.374;46.439;32.144;61.390
channel_3;37.414;53.250;47.068;61.626;56.325;53.054;56.622;76.467;39.739;62.116;44.734;53.743
channel_4;74.072;73.741;83.191;80.338;80.875;90.033;79.505;85.888;76.544;75.752;71.247;78.475
channel_5;79.360;75.411;88.173;77.389;65.818;86.081;75.266;84.042;87.650;85.387;73.391;86.820
channel_6;60.398;46.470;56.091;42.286;63.888;68.235;66.574;67.202;66.412;80.949;40.830;83.047
channel_7;55.153;55.588;67.946;62.945;72.138;62.401;68.350;63.615;53.032;76.466;58.354;54.874
channel_8;38.529;33.671;60.794;60.398;56.631;31.246;62.358;65.568;33.668;55.344;25.482;65.776
biceps;0.213;0.175;0.342;0.156;0.144;0.414;0.197;0.465;;;;
triceps;0.036;0.026;0.039;0.050;0.119;0.096;0.034;0.080;;;;
